scale_km,cell_id,latitude,longitude,bio1,bio4,bio12,bio15,realm,biome,ecoregion,dominant_eco_id
500,0,-75.63848843708344,-177.1875,-33.588605832212956,1086.4530616874972,94.25225384696094,99.7390019325692,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,1,-75.63848843708344,-171.5625,-32.39030193019594,1065.4532169787128,110.89462457709101,96.3240834198384,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,2,-75.63848843708344,-165.9375,-31.19515629123964,1065.7331061135317,122.25799528933887,92.12660650324896,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,3,-75.63848843708344,-160.3125,-35.37504017169688,1074.8230491623274,111.76787518111152,95.51202787867969,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,4,-75.63848843708344,-154.6875,-34.655294305509656,1070.1626073313048,126.95579534670397,91.82903831734919,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,5,-75.63848843708344,-149.0625,-33.512052388446165,1065.5637288967948,149.8374756094852,87.0983776315884,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,6,-75.63848843708344,-143.4375,-24.326993214349002,861.9242939964151,330.77281257916707,65.92011314389629,Antarctica,Tundra,Marie Byrd Land tundra,124
500,7,-75.63848843708344,-137.8125,-33.42805535082484,1015.3234303274588,186.47434344489253,82.09115469235194,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,8,-75.63848843708344,-132.1875,-32.46653483855922,934.3003690931026,227.72785705971907,76.29661147887555,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,9,-75.63848843708344,-126.5625,-32.36285031406556,863.0584876280047,261.5371759240559,73.26339930760348,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,11,-75.63848843708344,-115.3125,-20.26038773593863,639.4446884870588,506.50413230370697,57.36890506359747,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,12,-75.63848843708344,-109.6875,-18.539631196816362,603.9630293828108,705.5194501060719,45.38580938558101,Antarctica,Tundra,Marie Byrd Land tundra,124
500,15,-75.63848843708344,-92.8125,-22.748200246571784,676.3656842111039,700.2658853267297,53.223730668225016,Antarctica,Tundra,Ellsworth Land tundra,121
500,16,-75.63848843708344,-87.1875,-31.56901471661539,783.4532419927626,340.57906947316695,63.61047053200291,Antarctica,Tundra,Ellsworth Mountains tundra,122
500,17,-75.63848843708344,-81.5625,-25.258341400146,813.7618570834655,293.63407092789913,65.36155838896852,Antarctica,Tundra,Ellsworth Mountains tundra,122
500,19,-75.63848843708344,-70.3125,-11.312611684850827,520.7153868604578,224.87439687090622,63.32021773803826,Antarctica,Tundra,Central South Antarctic Peninsula tundra,118
500,20,-75.63848843708344,-64.6875,-19.510952799424736,692.6230015581699,79.55232322636438,79.56144313441209,Antarctica,Tundra,South Antarctic Peninsula tundra,130
500,21,-75.63848843708344,-59.0625,-20.878004908030448,822.290239750209,42.93740999325093,66.8247242613427,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,22,-75.63848843708344,-53.4375,-29.58676870503221,1020.1349982693071,5.580750207481849,57.461151410520046,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,23,-75.63848843708344,-47.8125,-28.917420219442494,1015.1261034061661,8.570228448633662,68.29177111139465,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,26,-75.63848843708344,-30.9375,-24.48792098792976,921.2211001030968,67.29255552364651,107.82449753698675,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,27,-75.63848843708344,-25.3125,-25.697934043345473,891.7851611145954,74.56059384330453,109.80008225030282,Antarctica,Tundra,Transantarctic Mountains tundra,134
500,29,-75.63848843708344,-14.0625,-24.38137435913086,660.07958984375,147.0,81.86473846435547,Antarctica,Tundra,Dronning Maud Land tundra,119
500,30,-75.63848843708344,-8.4375,-24.755062103271484,671.38330078125,142.0,83.8478775024414,Antarctica,Tundra,Dronning Maud Land tundra,119
500,31,-75.63848843708344,-2.8125,-22.10544968698885,701.8126602550471,144.706572728364,85.03219857512735,Antarctica,Tundra,Dronning Maud Land tundra,119
500,32,-75.63848843708344,2.8125,-22.52880502103392,716.0473179286828,119.13860034827816,90.475233347176,Antarctica,Tundra,Dronning Maud Land tundra,119
500,33,-75.63848843708344,8.4375,-23.133077664616952,687.3043821011029,98.37341998497227,97.07023105726,Antarctica,Tundra,Dronning Maud Land tundra,119
500,34,-75.63848843708344,14.0625,-20.056483790758946,659.3143694236477,104.13188094111482,91.8409744080364,Antarctica,Tundra,Dronning Maud Land tundra,119
500,35,-75.63848843708344,19.6875,-25.966594696044922,780.3065795898438,123.99999999999999,88.26203155517578,Antarctica,Tundra,Dronning Maud Land tundra,119
500,36,-75.63848843708344,25.3125,-25.928174696443484,799.690530622474,156.28623606387336,68.62371048931833,Antarctica,Tundra,Dronning Maud Land tundra,119
500,38,-75.63848843708344,36.5625,-30.20063591003418,892.8662719726562,169.0,72.98066711425781,Antarctica,Tundra,Dronning Maud Land tundra,119
500,42,-75.63848843708344,59.0625,-35.574683334083005,955.9345260190606,171.39886283468323,116.68632749199962,Antarctica,Tundra,Prince Charles Mountains tundra,128
