stratum_id,broad_clade,family,expected_pollination_axis,target_n_v2,selection_rule
M01,monocot,Orchidaceae,biotic_insect,55,random_species_from_family_after_taxonomy_freeze
M02,monocot,Poaceae,abiotic_wind,70,random_species_from_family_after_taxonomy_freeze
M03,monocot,Cyperaceae,abiotic_wind,45,random_species_from_family_after_taxonomy_freeze
M04,monocot,Iridaceae,biotic_insect,35,random_species_from_family_after_taxonomy_freeze
M05,monocot,Asparagaceae,biotic_mixed,35,random_species_from_family_after_taxonomy_freeze
M06,monocot,Araceae,biotic_insect,35,random_species_from_family_after_taxonomy_freeze
M07,eudicot,Asteraceae,biotic_insect,75,random_species_from_family_after_taxonomy_freeze
M08,eudicot,Fabaceae,biotic_insect,75,random_species_from_family_after_taxonomy_freeze
M09,eudicot,Rubiaceae,biotic_mixed,45,random_species_from_family_after_taxonomy_freeze
M10,eudicot,Lamiaceae,biotic_insect,55,random_species_from_family_after_taxonomy_freeze
M11,eudicot,Ericaceae,biotic_mixed,45,random_species_from_family_after_taxonomy_freeze
M12,eudicot,Caryophyllaceae,biotic_insect,45,random_species_from_family_after_taxonomy_freeze
M13,eudicot,Polemoniaceae,biotic_insect,30,random_species_from_family_after_taxonomy_freeze
M14,eudicot,Plantaginaceae,biotic_mixed,45,random_species_from_family_after_taxonomy_freeze
M15,eudicot,Primulaceae,biotic_insect,40,random_species_from_family_after_taxonomy_freeze
M16,eudicot,Brassicaceae,biotic_insect,45,random_species_from_family_after_taxonomy_freeze
M17,eudicot,Solanaceae,biotic_mixed,45,random_species_from_family_after_taxonomy_freeze
M18,eudicot,Ranunculaceae,biotic_insect,45,random_species_from_family_after_taxonomy_freeze
M19,eudicot,Onagraceae,biotic_mixed,30,random_species_from_family_after_taxonomy_freeze
M20,eudicot,Boraginaceae,biotic_insect,30,random_species_from_family_after_taxonomy_freeze
M21,eudicot,Betulaceae,abiotic_wind,35,random_species_from_family_after_taxonomy_freeze
M22,eudicot,Fagaceae,abiotic_wind,35,random_species_from_family_after_taxonomy_freeze
M23,eudicot,Juglandaceae,abiotic_wind,25,random_species_from_family_after_taxonomy_freeze
M24,eudicot,Salicaceae,mixed_wind_biotic,30,random_species_from_family_after_taxonomy_freeze
M25,eudicot,Amaranthaceae,abiotic_or_mixed,40,random_species_from_family_after_taxonomy_freeze
M26,eudicot,Urticaceae,abiotic_wind,25,random_species_from_family_after_taxonomy_freeze
M27,eudicot,Euphorbiaceae,biotic_or_wind,45,random_species_from_family_after_taxonomy_freeze
M28,magnoliid,Magnoliaceae,biotic_beetle,20,random_species_from_family_after_taxonomy_freeze
M29,magnoliid,Aristolochiaceae,biotic_fly,20,random_species_from_family_after_taxonomy_freeze
M30,basal_angiosperm,Nymphaeaceae,biotic_or_mixed,15,random_species_from_family_after_taxonomy_freeze
