feature_a,feature_b,spearman_rho
main__terrain_structure,main__terrain_structure,1.0
main__terrain_structure,main__thermal_regime,0.28788512796996363
main__terrain_structure,main__water_balance,0.2649728201159802
main__terrain_structure,main__atmospheric_energy_dryness,0.23849368987226888
main__terrain_structure,main__edaphic_regime,0.02116113993102328
main__terrain_structure,interaction__atmospheric_energy_dryness_x_edaphic_regime,-0.010044615134752993
main__terrain_structure,interaction__atmospheric_energy_dryness_x_terrain_structure,-0.053186590620312786
main__terrain_structure,interaction__edaphic_regime_x_terrain_structure,-0.05911433703056185
main__terrain_structure,interaction__thermal_regime_x_atmospheric_energy_dryness,0.06315788216636573
main__terrain_structure,interaction__thermal_regime_x_edaphic_regime,-0.08177729691515481
main__terrain_structure,interaction__thermal_regime_x_terrain_structure,-0.00448850228807811
main__terrain_structure,interaction__thermal_regime_x_water_balance,-0.08241547485980148
main__terrain_structure,interaction__water_balance_x_atmospheric_energy_dryness,0.018077488941751933
main__terrain_structure,interaction__water_balance_x_edaphic_regime,-0.024394781844410688
main__terrain_structure,interaction__water_balance_x_terrain_structure,-0.05069143905305093
main__thermal_regime,main__terrain_structure,0.28788512796996363
main__thermal_regime,main__thermal_regime,1.0
main__thermal_regime,main__water_balance,0.23949179826698386
main__thermal_regime,main__atmospheric_energy_dryness,0.30125987599476467
main__thermal_regime,main__edaphic_regime,0.055187106512663245
main__thermal_regime,interaction__atmospheric_energy_dryness_x_edaphic_regime,-0.07492667641129995
main__thermal_regime,interaction__atmospheric_energy_dryness_x_terrain_structure,-0.0365922921861416
main__thermal_regime,interaction__edaphic_regime_x_terrain_structure,-0.18319217945410946
main__thermal_regime,interaction__thermal_regime_x_atmospheric_energy_dryness,0.007854222196746056
main__thermal_regime,interaction__thermal_regime_x_edaphic_regime,-0.014403427818061964
main__thermal_regime,interaction__thermal_regime_x_terrain_structure,-0.04308011617131447
main__thermal_regime,interaction__thermal_regime_x_water_balance,-0.05991158178326789
main__thermal_regime,interaction__water_balance_x_atmospheric_energy_dryness,-0.024432757253541982
main__thermal_regime,interaction__water_balance_x_edaphic_regime,-0.08148018113553639
main__thermal_regime,interaction__water_balance_x_terrain_structure,-0.06665138096739369
main__water_balance,main__terrain_structure,0.2649728201159802
main__water_balance,main__thermal_regime,0.23949179826698386
main__water_balance,main__water_balance,1.0
main__water_balance,main__atmospheric_energy_dryness,0.2912338903060006
main__water_balance,main__edaphic_regime,0.16112536184116247
main__water_balance,interaction__atmospheric_energy_dryness_x_edaphic_regime,-0.09395880504045934
main__water_balance,interaction__atmospheric_energy_dryness_x_terrain_structure,-0.03570691582356482
main__water_balance,interaction__edaphic_regime_x_terrain_structure,-0.01485961040573978
main__water_balance,interaction__thermal_regime_x_atmospheric_energy_dryness,-0.005040220496212012
main__water_balance,interaction__thermal_regime_x_edaphic_regime,-0.07545164464570615
main__water_balance,interaction__thermal_regime_x_terrain_structure,0.023402644425974225
main__water_balance,interaction__thermal_regime_x_water_balance,-0.010731277406781118
main__water_balance,interaction__water_balance_x_atmospheric_energy_dryness,-0.025798677787012888
main__water_balance,interaction__water_balance_x_edaphic_regime,-0.0653313175317417
main__water_balance,interaction__water_balance_x_terrain_structure,-0.017717080813581344
main__atmospheric_energy_dryness,main__terrain_structure,0.23849368987226888
main__atmospheric_energy_dryness,main__thermal_regime,0.30125987599476467
main__atmospheric_energy_dryness,main__water_balance,0.2912338903060006
main__atmospheric_energy_dryness,main__atmospheric_energy_dryness,1.0
main__atmospheric_energy_dryness,main__edaphic_regime,0.05399577732557584
