world,amplitude,shared_fraction,threshold_sd,count,replicates,rate,wilson95_low,wilson95_high,threshold,mean_score,median_score,mean_posterior_shared_fraction,median_posterior_shared_fraction,mean_axis_entropy_normalized,mean_max_axis_mass,axis_concentration,common_threshold
no_structure,0.0,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.005722301969052848,0.00576069498270345,0.9574106377087326,0.9699069861955201,0.37940495511694955,0.39679078450232186,,
independent_boundaries,0.5,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0012135265921212346,0.0011029979717911,0.6033723399468057,0.6290363599405049,0.6618230821748241,0.21514176726619968,,
independent_boundaries,1.0,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,-7.111630059674808e-05,4.15785353899413e-06,0.18938093426236213,0.15278000288355445,0.9030414100946025,0.08395791982200879,,
independent_boundaries,2.0,0.0,0.0,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.003267331776383399,0.0032824672305735002,0.4698150512038518,0.49013831725790546,0.44322713726671104,0.3908697972593509,,
independent_shifted_boundaries,1.0,0.0,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,-6.226570982362035e-05,-1.0151170972968955e-06,0.20368917110861617,0.164157378828763,0.8906360037108288,0.0898511077376944,,
independent_shifted_boundaries,2.0,0.0,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.002876771462504791,0.0028415420676755,0.4633936100089117,0.47889298786762735,0.45830793771946265,0.36953899416496255,,
directionally_clustered_independent,1.0,0.0,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0010297268798523604,0.000736389188115,0.374000971871467,0.3349963390165893,0.7093702738292604,0.2075440491132082,2.0,
directionally_clustered_independent,2.0,0.0,0.25,8,250,0.032,0.01630236549364963,0.06186240283408649,0.0139621278596181,0.005617155513681064,0.0048354309907398495,0.5540764292587295,0.5824587638922926,0.3871638043535273,0.4428821074398287,2.0,
bimodal_clustered_independent,1.0,0.0,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0003195933086416473,0.00024022252114189998,0.2928641367431123,0.2439050469928358,0.7998294867126399,0.14721401986858937,3.0,
partially_shared_boundaries,0.5,0.5,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0016037934870319574,0.0013974796888245001,0.6622815545954793,0.6752574767328448,0.6118504134818398,0.25336695515372465,,
partially_shared_boundaries,1.0,0.1,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,2.974918663161065e-05,4.8187974360667065e-05,0.20696065073630934,0.1668897500275228,0.8869317449679068,0.0930983110278426,,
partially_shared_boundaries,1.0,0.25,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0002200584363564077,0.00012245610170690002,0.24108008449541368,0.19074871636887936,0.8490633793729498,0.11354708699579598,,
partially_shared_boundaries,1.0,0.5,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0013429605571613752,0.0011526069646096999,0.446862892976424,0.45781226955857757,0.6328473879206038,0.25076001296964984,,
partially_shared_boundaries,1.0,0.75,0.25,1,250,0.004,0.0007064475340650966,0.02230578556541592,0.0139621278596181,0.003877878043749324,0.0037956992205903503,0.654463211771823,0.6855744305546969,0.4300951503405336,0.40059143990930296,,
partially_shared_boundaries,1.0,1.0,0.25,2,250,0.008,0.0021966371203094217,0.02869452958320804,0.0139621278596181,0.007646383709383233,0.0074134015565548005,0.8779590938619729,0.9319733335710629,0.2773427573530654,0.5359838305611299,,
partially_shared_boundaries,2.0,0.25,0.25,0,250,0.0,8.673617379884035e-19,0.015133299495444574,0.0139621278596181,0.0037353552505813284,0.0034426814891789503,0.4981973720425229,0.511776652122079,0.4283384009657619,0.40490219499373176,,
partially_shared_boundaries,2.0,0.5,0.25,13,250,0.052,0.030637655164191247,0.08692178118372709,0.0139621278596181,0.006084125323505434,0.005897214466415749,0.5747444064186327,0.6129433471845173,0.34661668810569307,0.4946128509678205,,
partially_shared_boundaries,2.0,1.0,0.25,178,250,0.712,0.6529932925866828,0.7645901884272486,0.0139621278596181,0.019085507345190454,0.019273519309679847,0.9231473415870063,0.9885780055119949,0.13144602210828146,0.7682259310058452,,
shared_common_offset,1.0,1.0,0.0,20,250,0.08,0.052382328372331775,0.12032964320384165,0.0139621278596181,0.008882685675562529,0.008466533101818,0.9191596389414926,0.9585286596395377,0.2604774942989077,0.560365919752333,,0.25
