stage,species,training_inclusions,evaluation_inclusions
calibration,Acacia linifolia,149,0
calibration,Acacia ulicifolia,131,0
calibration,Aciphylla glacialis,0,125
calibration,Aconitum delphiniifolium,141,0
calibration,Aconitum tauricum,138,0
calibration,Adoxa moschatellina,0,119
calibration,Aegopodium podagraria,0,127
calibration,Agapanthus praecox,0,131
calibration,Ageratina havanensis,132,0
calibration,Agrostemma githago,138,0
calibration,Ajuga genevensis,142,0
calibration,Alchemilla alpina,128,0
calibration,Allium drummondii,0,136
calibration,Allium praecox,0,123
calibration,Allium schoenoprasum,0,122
calibration,Allium tuberosum,0,153
calibration,Althaea officinalis,0,124
calibration,Alyxia buxifolia,0,145
calibration,Amsinckia tessellata,0,143
calibration,Anchusa arvensis,131,0
calibration,Andromeda polifolia,129,0
calibration,Androsace villosa,133,0
calibration,Andryala integrifolia,127,0
calibration,Anemone pavonina,0,142
calibration,Anemonoides blanda,130,0
calibration,Anemonoides quinquefolia,148,0
calibration,Antennaria dioica,151,0
calibration,Aquilegia coerulea,138,0
calibration,Asclepias incarnata,134,0
calibration,Asclepias ovalifolia,136,0
calibration,Asclepias perennis,135,0
calibration,Asclepias quadrifolia,0,137
calibration,Asclepias viridis,134,0
calibration,Astragalus glycyphyllos,134,0
calibration,Austroflourensia thurifera,134,0
calibration,Baptisia australis,141,0
calibration,Baptisia tinctoria,138,0
calibration,Barbarea orthoceras,0,139
calibration,Bellis annua,0,136
calibration,Bidens aristosa,0,146
calibration,Bidens bipinnata,0,136
calibration,Bidens cernua,144,0
calibration,Biscutella laevigata,143,0
calibration,Brodiaea coronaria,0,129
calibration,Bryonia alba,127,0
calibration,Buddleja davidii,132,0
calibration,Bursaria spinosa,0,140
calibration,Calochortus concolor,142,0
calibration,Calochortus flexuosus,143,0
calibration,Calochortus leichtlinii,0,144
calibration,Calochortus monophyllus,0,140
calibration,Calycadenia multiglandulosa,0,138
calibration,Calystegia tuguriorum,146,0
calibration,Campanula latifolia,0,126
calibration,Campanula patula,0,148
calibration,Cardamine amara,0,135
calibration,Cardamine concatenata,148,0
calibration,Cardamine hirsuta,139,0
calibration,Carlina hispanica,140,0
calibration,Carlina vulgaris,0,139
calibration,Carthamus mitissimus,0,139
calibration,Castilleja exserta,146,0
calibration,Castilleja foliolosa,0,130
calibration,Centranthus calcitrapae,144,0
calibration,Centrosema virginianum,138,0
calibration,Cerastium fontanum,139,0
calibration,Chaenorhinum origanifolium,133,0
calibration,Chelone lyonii,0,137
calibration,Chondrilla juncea,0,143
calibration,Cipura campanulata,0,123
calibration,Cistus albidus,138,0
calibration,Cistus crispus,0,137
calibration,Clematis virginiana,120,0
