edge_id,cell_i,cell_j,opportunities,transition_count,persistence,species_turnover_jsd_bits,candidate_n_i,candidate_n_j,species_n_i,species_n_j,shared_species,union_species,species_jaccard_similarity
0:1,0,1,0,0,,,0,0,0,0,0,0,
0:17,0,17,0,0,,,0,200,0,40,0,40,0.0
0:18,0,18,0,0,,,0,200,0,124,0,124,0.0
1:2,1,2,0,0,,,0,0,0,0,0,0,
1:19,1,19,0,0,,,0,0,0,0,0,0,
2:3,2,3,0,0,,,0,0,0,0,0,0,
2:20,2,20,0,0,,,0,0,0,0,0,0,
3:4,3,4,0,0,,,0,0,0,0,0,0,
3:21,3,21,0,0,,,0,0,0,0,0,0,
4:5,4,5,0,0,,,0,200,0,104,0,104,0.0
4:22,4,22,0,0,,,0,1,0,1,0,1,0.0
5:6,5,6,200,1,0.005,0.7155966086203438,200,87,104,37,18,123,0.14634146341463414
5:23,5,23,200,0,0.0,0.9199738209421688,200,200,104,168,10,262,0.03816793893129771
6:7,6,7,200,61,0.305,0.8890825182453734,87,33,37,18,3,52,0.057692307692307696
6:24,6,24,200,0,0.0,0.9877720363639965,87,200,37,132,1,168,0.005952380952380952
7:8,7,8,0,0,,,33,0,18,0,0,18,0.0
7:25,7,25,0,0,,,33,0,18,0,0,18,0.0
8:9,8,9,0,0,,,0,0,0,0,0,0,
8:26,8,26,0,0,,,0,1,0,1,0,1,0.0
9:10,9,10,0,0,,,0,0,0,0,0,0,
9:27,9,27,0,0,,,0,200,0,154,0,154,0.0
10:11,10,11,0,0,,,0,0,0,0,0,0,
10:28,10,28,0,0,,,0,200,0,160,0,160,0.0
11:12,11,12,0,0,,,0,0,0,0,0,0,
11:29,11,29,0,0,,,0,3,0,2,0,2,0.0
12:13,12,13,0,0,,,0,0,0,0,0,0,
12:30,12,30,0,0,,,0,9,0,7,0,7,0.0
13:14,13,14,0,0,,,0,0,0,0,0,0,
13:31,13,31,0,0,,,0,0,0,0,0,0,
14:15,14,15,0,0,,,0,0,0,0,0,0,
14:32,14,32,0,0,,,0,200,0,165,0,165,0.0
15:16,15,16,0,0,,,0,42,0,9,0,9,0.0
15:33,15,33,0,0,,,0,200,0,143,0,143,0.0
16:17,16,17,131,129,0.9847328244274808,0.8251130826773556,42,200,9,40,3,46,0.06521739130434782
16:34,16,34,131,131,1.0,0.9999999999999992,42,200,9,170,0,179,0.0
17:35,17,35,200,0,0.0,0.9120899461850871,200,200,40,170,8,202,0.039603960396039604
18:19,18,19,0,0,,,200,0,124,0,0,124,0.0
18:35,18,35,200,3,0.015,0.8424957377210245,200,200,124,170,23,271,0.08487084870848709
