species,classifiable_photos,occupied_h1_cells,morph_levels,morph_entropy_bits,dominant_morph_fraction,white_n,yellow_orange_n,red_pink_n,blue_purple_n
Chamaenerion angustifolium,71,23,4,1.2060069307459547,0.704225352112676,6,1,50,14
Catharanthus roseus,65,36,3,1.2571933781862665,0.5384615384615384,26,0,35,4
Caltha palustris,64,23,2,0.11611507530476972,0.984375,1,63,0,0
Tridax procumbens,56,29,2,0.74959525725948,0.7857142857142857,44,12,0,0
Lantana camara,48,29,3,1.0838326964283513,0.7291666666666666,9,35,4,0
Ficaria verna,40,12,1,-0.0,1.0,0,40,0,0
Ipomoea pes-caprae,38,24,4,1.5133642766479285,0.631578947368421,6,3,24,5
Gloriosa superba,37,18,3,1.1292825501199804,0.7027027027027027,3,8,26,0
Sphagneticola trilobata,36,20,1,-0.0,1.0,0,36,0,0
Mimosa pudica,36,19,3,0.8030717273241024,0.8333333333333334,30,2,4,0
Scaevola taccada,36,19,2,0.18312206830137276,0.9722222222222222,35,0,0,1
Parnassia palustris,36,14,2,0.18312206830137276,0.9722222222222222,35,1,0,0
Achillea millefolium,35,17,1,-0.0,1.0,35,0,0,0
Calotropis procera,35,14,4,0.557854445516395,0.9142857142857143,32,1,1,1
Chamaenerion latifolium,34,11,2,0.7335379291086666,0.7941176470588235,0,0,27,7
Asystasia intrusa,32,18,1,-0.0,1.0,32,0,0,0
Lathyrus tuberosus,30,9,2,0.35335933502142136,0.9333333333333333,2,0,28,0
Bellis perennis,28,13,2,0.37123232664087563,0.9285714285714286,26,2,0,0
Ageratum conyzoides,27,18,2,0.228538143953528,0.9629629629629629,26,0,0,1
Calotropis gigantea,26,15,2,0.39124356362925566,0.9230769230769231,24,2,0,0
Convolvulus arvensis,25,16,2,0.24229218908241482,0.96,24,0,0,1
Taraxacum officinale,24,16,2,0.41381685030363374,0.9166666666666666,2,22,0,0
Commelina benghalensis,24,15,3,1.1752835873133534,0.5833333333333334,9,1,0,14
Kalmia procumbens,24,6,3,1.1964209471916636,0.5416666666666666,13,0,10,1
Trifolium repens,23,15,2,0.2580186686648155,0.9565217391304348,22,1,0,0
Asclepias curassavica,23,13,2,0.5586293734521992,0.8695652173913043,0,20,3,0
Turnera subulata,23,11,2,0.6665783579949205,0.8260869565217391,19,4,0,0
Arundina graminifolia,23,8,3,0.6784070909375675,0.8695652173913043,20,1,2,0
Trifolium pratense,21,16,3,1.1657840518150733,0.6190476190476191,7,1,13,0
Cyanthillium cinereum,21,13,3,1.0230370655328809,0.7619047619047619,16,2,0,3
Synedrella nodiflora,21,13,2,0.2761954276479391,0.9523809523809523,1,20,0,0
Bidens alba,21,10,2,0.7024665512903903,0.8095238095238095,17,4,0,0
Oxalis corniculata,20,15,2,0.4689955935892812,0.9,2,18,0,0
Turnera ulmifolia,20,13,1,-0.0,1.0,0,20,0,0
Viola altaica,20,3,3,1.295461844238322,0.6,6,2,0,12
Eclipta prostrata,19,17,1,-0.0,1.0,19,0,0,0
Rubus chamaemorus,19,11,3,0.7742433029172697,0.8421052631578947,16,2,1,0
Anaphalis margaritacea,19,11,1,-0.0,1.0,19,0,0,0
Ipomoea cairica,18,15,4,1.6158045319402516,0.5555555555555556,10,1,3,4
Leucaena leucocephala,18,12,3,0.9444885341662053,0.7777777777777778,14,3,0,1
Silene acaulis,18,8,3,1.3821022532543101,0.5,7,0,9,2
Momordica charantia,17,13,2,0.3227569588973982,0.9411764705882353,1,16,0,0
Pontederia crassipes,17,13,2,0.3227569588973982,0.9411764705882353,16,1,0,0
Clitoria ternatea,17,12,3,0.8343470230852538,0.8235294117647058,2,1,0,14
Crotalaria retusa,17,10,2,0.5225593745369408,0.8823529411764706,2,15,0,0
Argemone mexicana,17,10,1,-0.0,1.0,0,17,0,0
Saxifraga oppositifolia,17,7,2,0.6722948170756379,0.8235294117647058,0,0,14,3
Commelina erecta,16,11,2,0.954434002924965,0.625,6,0,0,10
Pemphis acidula,16,10,2,0.6962122601251458,0.8125,13,3,0,0
Tussilago farfara,16,9,1,-0.0,1.0,0,16,0,0
Lupinus nootkatensis,16,5,2,0.6962122601251458,0.8125,3,0,0,13
Ipomoea indica,15,12,2,0.5665095065529053,0.8666666666666667,2,0,0,13
Spathoglottis plicata,15,10,3,1.5058231002082845,0.4666666666666667,7,0,5,3
Hippobroma longiflora,15,10,2,0.7219280948873623,0.8,12,3,0,0
Lamium purpureum,15,8,3,1.5655962303576019,0.4,6,5,4,0
Metrosideros collina,15,3,3,1.5655962303576019,0.4,6,5,4,0
Hibiscus tiliaceus,14,11,3,1.2870540281187268,0.6428571428571429,3,9,2,0
Persicaria capitata,14,10,2,0.863120568566631,0.7142857142857143,10,0,4,0
Pulsatilla nuttalliana,14,8,3,1.4926140680171256,0.5,7,3,0,4
Commelina communis,14,7,2,0.37123232664087563,0.9285714285714286,0,1,0,13
Dryas integrifolia,14,4,1,-0.0,1.0,14,0,0,0
Antigonon leptopus,13,10,1,-0.0,1.0,0,0,13,0
Oxalis debilis,13,9,3,1.419556298571613,0.5384615384615384,4,0,7,2
Dasiphora fruticosa,13,9,1,-0.0,1.0,0,13,0,0
Ruellia simplex,13,8,3,1.1401156785146092,0.6923076923076923,3,0,1,9
Cichorium intybus,13,7,2,0.8904916402194913,0.6923076923076923,9,0,0,4
Oxalis barrelieri,13,6,2,0.6193821946787638,0.8461538461538461,11,2,0,0
Silene involucrata,13,3,2,0.39124356362925566,0.9230769230769231,12,0,1,0
Heliotropium arboreum,12,11,1,-0.0,1.0,12,0,0,0
Argentina anserina,12,8,1,-0.0,1.0,0,12,0,0
Commelina diffusa,12,7,2,0.9798687566511528,0.5833333333333334,5,0,0,7
Chromolaena odorata,12,7,1,-0.0,1.0,12,0,0,0
Geranium sylvaticum,12,6,2,0.41381685030363374,0.9166666666666666,1,0,0,11
Azorella polaris,12,2,1,-0.0,1.0,0,12,0,0
Bulbinella rossii,12,1,1,-0.0,1.0,0,12,0,0
Morinda citrifolia,11,10,3,1.0957952550009336,0.7272727272727273,8,2,0,1
Cirsium vulgare,11,8,4,1.867633890971212,0.36363636363636365,4,1,3,3
Spathodea campanulata,11,8,4,1.6171895725927152,0.5454545454545454,1,3,6,1
Phyla nodiflora,11,8,2,0.4394969869215134,0.9090909090909091,10,1,0,0
Veronica persica,11,7,3,0.8658566174572235,0.8181818181818182,9,1,0,1
Luffa aegyptiaca,11,7,2,0.8453509366224364,0.7272727272727273,3,8,0,0
Oxalis pes-caprae,11,7,1,-0.0,1.0,0,11,0,0
Viola tricolor,11,6,2,0.9456603046006401,0.6363636363636364,4,0,0,7
Cornus canadensis,11,6,1,-0.0,1.0,11,0,0,0
Oenothera rosea,11,5,2,0.6840384356390417,0.8181818181818182,2,0,9,0
Veronica chamaedrys,11,5,2,0.9940302114769565,0.5454545454545454,5,0,0,6
Leptinella plumosa,11,4,1,-0.0,1.0,0,11,0,0
Rhododendron camtschaticum,11,3,1,-0.0,1.0,0,0,11,0
Sibbaldiopsis tridentata,11,3,1,-0.0,1.0,11,0,0,0
Convolvulus chinensis,11,2,3,1.2406705316766884,0.6363636363636364,3,1,7,0
Plumbago zeylanica,10,10,1,-0.0,1.0,10,0,0,0
Nicotiana glauca,10,9,2,0.7219280948873623,0.8,2,8,0,0
Thunbergia alata,10,9,1,-0.0,1.0,0,10,0,0
Jatropha gossypiifolia,10,8,3,1.3609640474436813,0.5,1,5,4,0
Heliotropium indicum,10,8,1,-0.0,1.0,10,0,0,0
Asystasia gangetica,10,7,4,1.8464393446710154,0.4,4,1,2,3
Geranium robertianum,10,7,4,1.6854752972273346,0.5,5,1,3,1
Silybum marianum,10,7,4,1.8464393446710154,0.4,2,1,3,4
Caesalpinia pulcherrima,10,7,2,1.0,0.5,0,5,5,0
Echium plantagineum,10,7,2,0.4689955935892812,0.9,0,0,1,9
Senna alata,10,7,1,-0.0,1.0,0,10,0,0
Armeria maritima,10,6,3,1.295461844238322,0.6,6,1,3,0
Bistorta vivipara,10,6,2,0.7219280948873623,0.8,8,2,0,0
