species,inat_taxon_id,raw_photos,classifiable_photos,h9_measurement_evaluable
Achillea millefolium,52821,60,49,True
Anaphalis margaritacea,52833,60,51,True
Arctostaphylos uva-ursi,68049,60,23,True
Arundina graminifolia,117504,60,20,True
Asclepias curassavica,75602,60,25,True
Bellis perennis,55563,60,51,True
Bidens alba,1095846,60,41,True
Calotropis procera,120917,60,28,True
Caltha palustris,56224,60,38,True
Chamaenerion angustifolium,564969,60,26,True
Chamaenerion latifolium,564970,60,31,True
Commelina benghalensis,76425,60,27,True
Convolvulus arvensis,53021,60,42,True
Cyanthillium cinereum,130374,60,20,True
Delonix regia,62839,60,15,False
Emilia fosbergii,129103,60,39,True
Ficaria verna,204321,60,43,True
Fritillaria camschatcensis,128770,60,21,True
Hibiscus tiliaceus,62868,60,19,False
Ipomoea cairica,77494,60,30,True
Ipomoea pes-caprae,60879,60,28,True
Lamium purpureum,55851,60,24,True
Lantana camara,50333,60,28,True
Lathyrus tuberosus,55729,60,44,True
Nicotiana glauca,58334,60,16,False
Parnassia palustris,78352,60,39,True
Rubus chamaemorus,153003,60,32,True
Ruellia simplex,126633,60,36,True
Saxifraga oppositifolia,128880,60,40,True
Scaevola taccada,363481,60,38,True
Spathoglottis plicata,132672,60,33,True
Taraxacum officinale,47602,60,43,True
Tridax procumbens,169944,60,39,True
Trifolium pratense,51875,60,34,True
Trifolium repens,55745,60,39,True
Turnera subulata,327909,60,37,True
Veronica chamaedrys,51610,60,39,True
Veronica persica,55666,60,16,False
