species,inat_taxon_id,measurement_id,analysis_rank,selection_hash
Bidens alba,1095846,FCPR-3AC4B76B84EB71ED5AFAA701,1,04c8be8efa0a00b42f732f562f738a145efa2944dc5ba5321d0c5be59a3bfe2b
Bidens alba,1095846,FCPR-D77581D83F227B2FA700FD08,2,07b0f483f6f02d427303c2678858a54548c960608cca70c2f6e1951c73073205
Bidens alba,1095846,FCPR-8CD6105B85B0CE0EFD90A58A,3,0c5d8b8361ed86e9d96a41ecc0b18126c1dea503b09a898cb2702f11264acbf9
Bidens alba,1095846,FCPR-2D22765E16DF0E25D47CDAB1,4,0dc4d95c7f595948b699ae8c8b28bd92fdea609063d2463b662c10998bb891bb
Bidens alba,1095846,FCPR-9A4E6E647B53F2803482F0E0,5,161acb1913d758e3e0899fe2e7209a22c1cd3de21960a1ab0bb6d78842317e39
Bidens alba,1095846,FCPR-A136BCA8A0497644F312E224,6,18b2a14f091dd4c65cdb6b7ee5418c884219147c0c63b1535da4e2dcd304913e
Bidens alba,1095846,FCPR-1EC1D353FB91BCE9A58FB6E2,7,22503ad82e9a70afed422d2c1043bfd6888a20ff1a6302ee84ec161e3c22c9e7
Bidens alba,1095846,FCPR-1677D0459C6A04BE1EFD51BA,8,2569d8f11307728d9d8f6a3efdbec03ecf019d1e9d7206f5360c0424d6080de3
Bidens alba,1095846,FCPR-3F9618DCA2383D45C3384FC5,9,2e7b5a5c0bc02fe1129e5ade9b1226bf59b8be53171cb3d39ee25700976beb05
Bidens alba,1095846,FCPR-AD347E853E3003FCFA221806,10,36a9109303ae6e88dd9c930ae6bdfe8c38434d77bfd6acc03cd99c48334526eb
Bidens alba,1095846,FCPR-B1A3BE9A330A41CC048CCAC4,11,37e04006f6ecd1b341372957a05a9235198df23f11a129450e2b5033c74a3a68
Bidens alba,1095846,FCPR-21DE388A35512438A659BE4D,12,3daee6b2d3297804a1b72ecbac48868f14ffc75244037d42430e5ac8b7dd283e
Bidens alba,1095846,FCPR-3EF1ACEA445D1396301A04D5,13,3e2b7092543db073865dd322f9baa87a2849473559ad443223a669c4887808ca
Bidens alba,1095846,FCPR-C81559B78AE9940642CBFE57,14,3eed99275d8e8b5603338203aac728f58b3f038bf18c276518e8fb3444957030
Bidens alba,1095846,FCPR-DCBED5C13957B05729CEE3F5,15,4342571ba7388a28e9b696ed953ac2e5bcc41a223464435ff647ee919e10bebf
Bidens alba,1095846,FCPR-D7780B72267327C1C05F4ACE,16,4dea4277af47ef28e36c9d0ad8d713bcc2bf03d7f95291b7abf21a3659dc1046
Bidens alba,1095846,FCPR-97D595C91A13841FB8DF91AD,17,4f1e556f0be56f8895dce9f9eb742679692241c058307d56c31cca05d2af9e0b
Bidens alba,1095846,FCPR-9E5AB0A7C6F605B34CC4330F,18,4f3a57e52b1aee3d160a9c6786261c1f8ba763144656248461a7171765d52b5a
Bidens alba,1095846,FCPR-6772D4B6F9722E48D233FCAF,19,552ba43270355d6f421c95a1502311cf1a86416ffcc5d6ef56799ce9df68a5d9
Bidens alba,1095846,FCPR-AA7BBE3A7D8C5AC885292F17,20,5ca4df057542780d6fbb0882e063db42dc9aeaa5e29e7feb97f643a478fd2ad3
Arundina graminifolia,117504,FCPR-0516A83F8C4E7DD3F8343170,1,104ab13582bf3a2cbe267aba6adeba06d3051d21d4c75ca89cbbcf5a54be5408
Arundina graminifolia,117504,FCPR-777191BEA1F26E12EFA5F50A,2,22fae3e0bb6d24ce87e87f7870f40e921d8b57a1126a8d61417efdf38c4b9247
Arundina graminifolia,117504,FCPR-B9DADBD34B1F0FBF90F2F7A3,3,2ddeb4cb1b746ea363fe69e972e9b47ab3c65bc93ef9fc29e921be946e22ad6e
