species,inat_taxon_id,analysis_photos,photo_pairs,geographic_colour_spearman_rho,mean_pairwise_great_circle_km,maximum_pairwise_great_circle_km,mean_pairwise_colour_jsd_bits
Bidens alba,1095846,20,190,-0.023285963600099727,5292.058071540589,15692.723292215442,0.07797817960107867
Arundina graminifolia,117504,20,190,-0.019585613247779132,9651.71576083329,18955.42132664068,0.3465883516563613
Calotropis procera,120917,20,190,-0.026237496008782866,8957.253014508664,19879.212597550202,0.12567716132029308
Ruellia simplex,126633,20,190,0.02779811658290578,8547.6533411992,19437.130565723473,0.31363144253946595
Fritillaria camschatcensis,128770,20,190,0.007580966577847575,2420.336256738704,7679.78397333231,0.3993626008362563
Saxifraga oppositifolia,128880,20,190,0.11078918937833239,4449.630917924816,8918.609223152847,0.2359317678354657
Emilia fosbergii,129103,20,190,-0.06256041499910334,5376.021156400908,19569.990524754234,0.15722402731079052
Cyanthillium cinereum,130374,20,190,-0.031253526486373,10044.667902125335,17293.549105069265,0.31036993115044237
Spathoglottis plicata,132672,20,190,-0.002866678038901792,9249.020176385782,19602.777033789618,0.4071276038675381
Rubus chamaemorus,153003,20,190,0.027836607224868453,3882.938454408646,8051.569097053418,0.041715098290379074
Tridax procumbens,169944,20,190,-0.05215744422137368,9880.755469897389,19323.16132642043,0.10146217579450373
Ficaria verna,204321,20,190,-0.06343848359788856,4047.1349899456595,9168.71527141952,0.007434929292204291
Turnera subulata,327909,20,190,-0.10479339710532877,9669.460438334128,19615.717416974127,0.14588812033351692
Scaevola taccada,363481,20,190,-0.04316463059918557,9063.610834383595,17171.288698779437,0.13048194714000869
Taraxacum officinale,47602,20,190,0.0013375919327707,6199.93359281157,16496.328642182933,0.03401724166850726
Lantana camara,50333,20,190,0.022495155865230265,9691.049223600567,19392.614249622362,0.2545305531977726
Veronica chamaedrys,51610,20,190,0.023109256561998363,2794.9892994553206,7268.520763418145,0.0488279663501243
Trifolium pratense,51875,20,190,-0.0021336062669763413,5084.2436718803765,9970.146290099347,0.27050635167536613
Achillea millefolium,52821,20,190,-0.08881278239228088,5991.827711359698,19608.675923790495,0.02495538151735429
Anaphalis margaritacea,52833,20,190,0.2689647329493017,2356.70667821273,5612.479494624672,0.04093017119388222
Convolvulus arvensis,53021,20,190,-0.08867281642150752,5502.156555124737,12226.590261424004,0.15372784177783985
Bellis perennis,55563,20,190,-0.13199053480122644,4813.983222205307,16928.96959770176,0.015194426049974919
Lathyrus tuberosus,55729,20,190,-0.10481089285167544,3098.100507770937,10582.465349689015,0.059328508652005195
Trifolium repens,55745,20,190,0.002537758007584406,6404.921129996744,19683.295312142902,0.05510638418244633
Lamium purpureum,55851,20,190,-0.062135268362879276,5180.814215468062,16713.053815592324,0.3599023315777506
Caltha palustris,56224,20,190,-0.14556198524233796,4330.71991714948,9345.31789633095,0.009822403980528529
Chamaenerion angustifolium,564969,20,190,-0.04762954506685562,4621.889068526076,9641.3648085319,0.235530866243044
Chamaenerion latifolium,564970,20,190,0.17599933516163882,3953.860969329775,11033.630021183435,0.17128519406661508
Ipomoea pes-caprae,60879,20,190,-0.04578899255118599,10174.470461485711,19426.723142358132,0.24857419770615918
Arctostaphylos uva-ursi,68049,20,190,0.09130592624668128,4525.75121370926,9095.839536668853,0.12852847434732023
Asclepias curassavica,75602,20,190,-0.028389472809423208,7608.831460274663,18955.527814236044,0.1781706279061466
Commelina benghalensis,76425,20,190,-0.027206760356388353,9227.41434566643,19362.398946785128,0.29980816044829856
Ipomoea cairica,77494,20,190,0.05686429743246559,8294.943058851079,18964.63744710651,0.3566106451350201
Parnassia palustris,78352,20,190,0.08954760373884099,4191.079024444471,10158.82336954159,0.11604842628913008
