canonical_name,family,organization_state,C_local_coexistence_documented,S_spatial_segregation_documented,n_resolved_sources,n_C_positive_sources,n_S_positive_sources,n_conflict_sources,C_source_ids,S_source_ids,n_climate_cells,metric_status,temperature_breadth,moisture_breadth,climatic_heterogeneity,pca_dispersion,pca_hull_area,climate_eligible
Abronia fragrans,Nyctaginaceae,spatial_segregation_only,0,1,1,0,1,0,,https://openalex.org/W2063060522,908,complete,33.275,663.5,0.9224411265508466,2.2427206579647696,30.7657086479341,1
Anemone coronaria,Ranunculaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2139821503,https://openalex.org/W2139821503,443,complete,37.75,732.5,0.824303691921921,1.981227158698502,21.460387652368436,1
Anemone palmata,Ranunculaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1111/plb.13702,10.1111/plb.13702,383,complete,22.525,390.75,0.6514601234674147,1.5846814237537466,13.000154825238615,1
Anemone pavonina,Ranunculaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2139821503,https://openalex.org/W2139821503,513,complete,34.5,836.25,0.8390284497891961,2.0205893495065377,25.592279748885554,1
Antirrhinum majus,Plantaginaceae,spatial_segregation_only,0,1,1,0,1,0,,10.15479/at:ista:th_526,817,complete,31.925,625.75,0.8222098665628805,1.9804044718183805,23.7718096748986,1
Bletia patula,Orchidaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2208128720,https://openalex.org/W2208128720,38,complete,14.125,471.5,0.5148885378612311,1.213122638692185,5.574818103352428,1
Cirsium palustre,Asteraceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2010579016,https://openalex.org/W2010579016,1739,complete,38.325,719.5,0.8958125444268895,2.169982634408976,30.644386036946874,1
Dactylorhiza sambucina,spatial_segregation_only,spatial_segregation_only,0,1,1,0,1,0,,10.3390/d15020179,584,complete,32.075,772.75,0.8512621190781624,2.0542052103128328,27.76535283485738,1
Digitalis purpurea,Plantaginaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W1963796408,https://openalex.org/W1963796408,2257,complete,36.975,792.5,0.898569847950218,2.175956452239597,31.894988979139367,1
Gerbera aurantiaca,Asteraceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2052559210,https://openalex.org/W2052559210,32,complete,13.85,357.75,0.526632702262501,1.2362015378819064,4.880628091170839,1
Gentiana leucomelaena,Gentianaceae,local_coexistence_only,1,0,1,1,0,0,https://openalex.org/W2165750426,,98,complete,18.025,202.5,0.5068235093203823,1.203023536838595,4.644475102030587,1
Gentiana lutea,Gentianaceae,spatial_segregation_only,0,1,1,0,1,0,,https://openalex.org/W1981134460,782,complete,30.775,692.75,0.8278299135684543,2.012644864597483,24.881418883299077,1
Hepatica nobilis,Ranunculaceae,local_coexistence_only,1,0,1,1,0,0,https://openalex.org/W2104829665,,1058,complete,42.2,569.0,0.8649436024598504,2.091218855737415,26.369472670486604,1
Hesperis matronalis,Brassicaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1093/aob/mcn181,10.1093/aob/mcn181,1742,complete,44.975,830.0,0.9451855972335507,2.2944308074966366,35.036359099142624,1
Ipomoea purpurea,Convolvulaceae,local_coexistence_only,1,0,1,1,0,0,10.1111/j.1558-5646.1987.tb02468.x,,1667,complete,33.25,842.5,0.8493471333874115,2.044473123745011,28.353424075369705,1
Iris lutescens,Iridaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1093/aob/mcw036,10.1093/aob/mcw036,283,complete,24.275,469.25,0.6361949803544416,1.538353490449814,11.48922903119648,1
Leptosiphon parviflorus,Polemoniaceae,local_coexistence_only,1,0,1,1,0,0,https://openalex.org/W7111452177,,83,complete,17.875,484.25,0.5422065420569572,1.2736170364962407,5.521023261481943,1
Lilium sulphureum,Liliaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2162699379,https://openalex.org/W2162699379,26,complete,12.125,243.0,0.4574660909012342,1.066546821662522,3.363334254805361,1
Lysimachia arvensis,Primulaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2167306156,https://openalex.org/W2167306156,1178,complete,35.45,821.5,0.8667358297075204,2.0954022937226036,29.735558343439416,1
Mimulus ringens,Phrymaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1093/botlinnean/boad065,738,complete,43.925,624.75,0.8563769316682752,2.080505770519096,29.046478185133422,1
Ophrys arachnitiformis,Orchidaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W1977883953,https://openalex.org/W1977883953,33,complete,14.775,512.25,0.5666893521331258,1.3337105896137455,5.739821271975266,1
Orchis mascula,Orchidaceae,local_coexistence_only,1,0,1,1,0,0,https://openalex.org/W2085147426,,631,complete,35.075,684.5,0.8322220697672834,2.009017886437328,25.717368602976608,1
Pedicularis dasyantha,Orobanchaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W1990428853,https://openalex.org/W1990428853,25,complete,12.675,182.0,0.4855273701381376,1.1146792560152598,3.823201266125723,1
Platystemon californicus,Papaveraceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2315150280,https://openalex.org/W2315150280,258,complete,22.7,431.25,0.6324060203433314,1.5099795013192548,10.20336391133173,1
Raphanus sativus,Brassicaceae,local_coexistence_only,1,0,1,1,0,0,10.1002/j.1537-2197.1987.tb08595.x,,1431,complete,34.075,786.0,0.8767519445092294,2.121448836031406,30.777129861428164,1
Rhododendron arboreum,Ericaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1163/22238980-bja10061,125,complete,25.525,946.0,0.7263483258109063,1.7694461526520652,15.702614967626584,1
Silene littorea,Caryophyllaceae,local_coexistence_only,1,0,1,1,0,0,10.1111/plb.13209,,21,complete,11.875,235.0,0.4787214028972309,1.1088726809040055,3.415867459057331,1
Solanum carolinense,Solanaceae,local_coexistence_only,1,0,1,1,0,0,10.5091/plecevo.128527,,1547,complete,40.825,725.25,0.8887272202588535,2.1543052190455636,31.11275966352189,1
Tecomella undulata,Bignoniaceae,local_coexistence_only,1,0,1,1,0,0,https://openalex.org/W2155507827,,31,complete,17.2,191.5,0.5437660043954208,1.2783647883289464,4.402142535186317,1
