canonical_name,family,organization_state,C_local_coexistence_documented,S_spatial_segregation_documented,n_resolved_sources,n_C_positive_sources,n_S_positive_sources,n_conflict_sources,C_source_ids,S_source_ids
Abronia fragrans,Nyctaginaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1002/ajb2.70142
Anemone coronaria,Ranunculaceae,coexistence_and_segregation,1,1,4,4,2,0,10.1002/njb.05105;10.1093/aobpla/plag009;10.1111/plb.13744;10.3390/plants9030397,10.1002/njb.05105;10.3390/plants9030397
Anemone palmata,Ranunculaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1111/plb.13702,10.1111/plb.13702
Anemone pavonina,Ranunculaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1002/ajb2.70189,10.1002/ajb2.70189
Bletia patula,Orchidaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2289564457,https://openalex.org/W2289564457
Cirsium palustre,Asteraceae,coexistence_and_segregation,1,1,1,1,1,0,10.5287/ora-mj5dwmwbx,10.5287/ora-mj5dwmwbx
Delphinium occidentale,Ranunculaceae,local_coexistence_only,1,0,1,1,0,0,10.13001/uwnpsrc.1993.3155,
Digitalis purpurea,Plantaginaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1002/ajb2.70186,10.1002/ajb2.70186
Disa porrecta,Orchidaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1093/aob/mcaf074
Eruca sativa,Brassicaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1093/jisesa/iez038
Erythranthe lewisii,Phrymaceae,local_coexistence_only,1,0,1,1,0,0,10.1371/journal.pone.0081173,
Gentiana leucomelaena,Gentianaceae,local_coexistence_only,1,0,2,2,0,0,10.1002/ece3.2899;10.1657/1938-4246-43.3.410,
Gerbera aurantiaca,Asteraceae,coexistence_and_segregation,1,1,1,1,1,0,10.3389/fevo.2021.676520,10.3389/fevo.2021.676520
Hepatica nobilis,Ranunculaceae,local_coexistence_only,1,0,1,1,0,0,10.1007/s10265-016-0893-1,
Hesperis matronalis,Brassicaceae,coexistence_and_segregation,1,1,3,1,2,0,10.1093/aob/mcn181,10.1093/aob/mcag035;10.1101/2025.04.22.650098
Ipomoea purpurea,Convolvulaceae,local_coexistence_only,1,0,3,2,0,1,10.1093/jhered/91.6.491;10.1093/oxfordjournals.jhered.a109778,
Iris lutescens,Iridaceae,coexistence_and_segregation,1,1,2,1,2,0,10.1080/23818107.2020.1833750,10.1080/23818107.2020.1833750;10.1093/aob/mcw036
Leptosiphon parviflorus,Polemoniaceae,local_coexistence_only,1,0,2,1,0,0,https://openalex.org/W7114831063,
Lilium sulphureum,Liliaceae,coexistence_and_segregation,1,1,1,1,1,0,https://openalex.org/W2357395938,https://openalex.org/W2357395938
Limonium wrightii,Plumbaginaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1111/j.1095-8312.2009.01253.x
Linanthus parryae,Polemoniaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1111/j.1558-5646.2007.00219.x
Lysimachia arvensis,Primulaceae,coexistence_and_segregation,1,1,3,2,1,0,10.1101/761122;10.3389/fpls.2020.563110,10.1111/1365-2745.12151
Ophrys arachnitiformis,Orchidaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1093/aob/mcp208,10.1093/aob/mcp208
Orchis mascula,Orchidaceae,spatial_segregation_only,0,1,1,0,1,0,,10.14712/23361964.2015.15
Pedicularis dasyantha,Orobanchaceae,coexistence_and_segregation,1,1,2,2,2,0,10.1002/j.1537-2197.1996.tb13931.x;10.2307/2446092,10.1002/j.1537-2197.1996.tb13931.x;10.2307/2446092
Platystemon californicus,Papaveraceae,coexistence_and_segregation,1,1,2,2,2,0,10.1002/j.1537-2197.1981.tb12383.x;10.2307/2442855,10.1002/j.1537-2197.1981.tb12383.x;10.2307/2442855
Protea repens,Proteaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1098/rspb.2015.0583
Raphanus sativus,Brassicaceae,local_coexistence_only,1,0,2,2,0,0,10.1002/j.1537-2197.1987.tb08595.x;10.2307/2444019,
Rhododendron arboreum,Ericaceae,spatial_segregation_only,0,1,1,0,1,0,,10.1163/22238980-bja10061
Silene littorea,Caryophyllaceae,local_coexistence_only,1,0,1,1,0,0,10.1111/plb.13209,
Solanum carolinense,Solanaceae,local_coexistence_only,1,0,1,1,0,0,10.5091/plecevo.128527,
Tecomella undulata,Bignoniaceae,local_coexistence_only,1,0,1,1,0,0,10.1371/journal.pone.0102607,
Trillium sessile,Melanthiaceae,local_coexistence_only,1,0,3,3,0,0,10.1002/j.1537-2197.1989.tb11280.x;10.1111/j.1442-1984.1987.tb00033.x;10.2307/2444769,
Viola diversifolia,Violaceae,coexistence_and_segregation,1,1,1,1,1,0,10.1080/01811789.1990.10827015,10.1080/01811789.1990.10827015
