species,D,second_fraction,n_classifiable,second_ge_0_10,second_ge_0_20
Acacia linifolia,0.2230902777777778,0.1041666666666666,48,True,False
Acacia ulicifolia,0.3324099722991689,0.2105263157894736,76,True,True
Aciphylla glacialis,0.1403621214548949,0.0759493670886076,79,False,False
Aconitum delphiniifolium,0.1281241022694628,0.0508474576271186,59,False,False
Aconitum tauricum,0.0695153061224489,0.0178571428571428,56,False,False
Adoxa moschatellina,0.4834710743801652,0.4090909090909091,44,True,True
Aegopodium podagraria,0.0,0.0,80,False,False
Agapanthus praecox,0.5069419722321111,0.4150943396226415,53,True,True
Ageratina havanensis,0.0,0.0,70,False,False
Agrostemma githago,0.5745817016731933,0.2452830188679245,53,True,True
Ajuga genevensis,0.1499375260308204,0.0816326530612244,49,False,False
Alchemilla alpina,0.3244170096021948,0.2037037037037037,54,True,True
Allium drummondii,0.3386243386243387,0.1746031746031746,63,True,False
Allium praecox,0.1178698224852071,0.0307692307692307,65,False,False
Allium schoenoprasum,0.5895999999999999,0.22,50,True,True
Allium tuberosum,0.0579193584317219,0.0298507462686567,67,False,False
Althaea officinalis,0.1597242171789715,0.0338983050847457,59,False,False
Alyxia buxifolia,0.3930864197530864,0.1777777777777777,45,True,False
Amsinckia tessellata,0.0559183673469387,0.0142857142857142,70,False,False
Anchusa arvensis,0.5312,0.42,50,True,True
Andromeda polifolia,0.3021914648212226,0.1372549019607843,51,True,False
Androsace villosa,0.0253122945430637,0.0128205128205128,78,False,False
Andryala integrifolia,0.3713505566057551,0.2463768115942029,69,True,True
Anemone pavonina,0.5748148148148149,0.1777777777777777,45,True,False
Anemonoides blanda,0.3698224852071006,0.1923076923076923,52,True,False
Anemonoides quinquefolia,0.0798611111111109,0.0416666666666666,48,False,False
Antennaria dioica,0.286042240587695,0.1363636363636363,66,True,False
Aquilegia coerulea,0.5506198347107437,0.2954545454545454,44,True,True
Asclepias incarnata,0.4398167430237402,0.3265306122448979,49,True,True
Asclepias ovalifolia,0.1575505350772887,0.0862068965517241,58,False,False
Asclepias perennis,0.0281632653061223,0.0142857142857142,70,False,False
Asclepias quadrifolia,0.059228650137741,0.0151515151515151,66,False,False
Asclepias viridis,0.43875,0.325,40,True,True
Astragalus glycyphyllos,0.4954648526077096,0.4523809523809524,42,True,True
Austroflourensia thurifera,0.0350765306122449,0.0178571428571428,56,False,False
Baptisia australis,0.1472,0.08,75,False,False
Baptisia tinctoria,0.0,0.0,75,False,False
Barbarea orthoceras,0.0277722674072604,0.0140845070422535,71,False,False
Bellis annua,0.0721874999999998,0.0375,80,False,False
Bidens aristosa,0.0499671268902037,0.0256410256410256,78,False,False
Bidens bipinnata,0.1207075962539023,0.064516129032258,62,False,False
Bidens cernua,0.03076171875,0.015625,64,False,False
Biscutella laevigata,0.177742511406467,0.0985915492957746,71,False,False
Brodiaea coronaria,0.0619803476946334,0.0158730158730158,63,False,False
Bryonia alba,0.5425342058298632,0.4390243902439024,41,True,True
Buddleja davidii,0.5959978366684695,0.3953488372093023,43,True,True
Bursaria spinosa,0.0416478044363965,0.0212765957446808,47,False,False
Calochortus concolor,0.1760856632956573,0.0975609756097561,41,False,False
Calochortus flexuosus,0.2190753852561433,0.1020408163265306,49,True,False
Calochortus leichtlinii,0.1392318244170095,0.0555555555555555,54,False,False
Calochortus monophyllus,0.0,0.0,55,False,False
Calycadenia multiglandulosa,0.0,0.0,64,False,False
Calystegia tuguriorum,0.0783007080383174,0.0408163265306122,49,False,False
Campanula latifolia,0.4418402777777778,0.2916666666666667,48,True,True
Campanula patula,0.4470663265306123,0.1964285714285714,56,True,False
Cardamine amara,0.029405212742259,0.0149253731343283,67,False,False
Cardamine concatenata,0.0886965927528393,0.0465116279069767,43,False,False
Cardamine hirsuta,0.0350765306122449,0.0178571428571428,56,False,False
Carlina hispanica,0.0338882282996433,0.0172413793103448,58,False,False
Carlina vulgaris,0.5275000000000001,0.375,40,True,True
Carthamus mitissimus,0.5805785123966942,0.4318181818181818,44,True,True
Castilleja exserta,0.3411989795918367,0.0714285714285714,56,False,False
Castilleja foliolosa,0.5207939508506616,0.4782608695652174,46,True,True
Centranthus calcitrapae,0.197869822485207,0.0615384615384615,65,False,False
Centrosema virginianum,0.6489994591671173,0.3255813953488372,43,True,True
Cerastium fontanum,0.0677131425053862,0.0350877192982456,57,False,False
Chaenorhinum origanifolium,0.5539358600583091,0.4285714285714285,49,True,True
Chelone lyonii,0.4723032069970845,0.2653061224489796,49,True,True
Chondrilla juncea,0.2355371900826446,0.1363636363636363,66,True,False
Cipura campanulata,0.1975308641975308,0.1111111111111111,54,True,False
Cistus albidus,0.6010701545778834,0.2068965517241379,58,True,True
Cistus crispus,0.17236328125,0.078125,64,False,False
Clematis virginiana,0.0399833402748854,0.0204081632653061,49,False,False
Clinopodium alpinum,0.2043431826272694,0.0943396226415094,53,False,False
Cneoridium dumosum,0.3064000000000001,0.14,50,True,False
Cochlospermum vitifolium,0.0807291666666665,0.0208333333333333,48,False,False
Coleogyne ramosissima,0.0748861528082307,0.0389610389610389,77,False,False
Coleostephus myconis,0.0,0.0,79,False,False
Collinsia grandiflora,0.2297668038408779,0.1111111111111111,54,True,False
Commelina benghalensis,0.5159554017685506,0.2941176470588235,51,True,True
Commelina communis,0.2078402366863906,0.0961538461538461,52,False,False
Commelina diffusa,0.4757253662740591,0.3898305084745763,59,True,True
Conoclinium betonicifolium,0.1977857008819665,0.0958904109589041,73,False,False
Conopholis alpina,0.3106508875739644,0.1923076923076923,52,True,False
Conospermum caeruleum,0.4038165589412126,0.2807017543859649,57,True,True
Convolvulus elegantissimus,0.5826397146254458,0.3793103448275862,58,True,True
Cornus florida,0.2149104539775095,0.1224489795918367,49,True,False
Cornus sanguinea,0.1499375260308204,0.0816326530612244,49,False,False
Cornus suecica,0.0350765306122449,0.0178571428571428,56,False,False
Corydalis aurea,0.0281632653061223,0.0142857142857142,70,False,False
Cotula coronopifolia,0.0240928019036288,0.0121951219512195,82,False,False
Crepis biennis,0.0322493953238376,0.0163934426229508,61,False,False
Crepis sancta,0.0579193584317219,0.0298507462686567,67,False,False
Cryptantha barbigera,0.2230902777777778,0.1041666666666666,48,True,False
Cylindropuntia echinocarpa,0.19013128112268,0.1063829787234042,47,True,False
Cypripedium guttatum,0.3336483931947069,0.1304347826086956,46,True,False
Dalea candida,0.0525931336742147,0.027027027027027,74,False,False
Dampiera stricta,0.1842653420926132,0.0886075949367088,79,False,False
Delphinium glaucum,0.2014462809917354,0.1136363636363636,44,True,False
Delphinium sutherlandii,0.1067995728017088,0.0566037735849056,53,False,False
Desmanthus illinoensis,0.2355371900826446,0.1363636363636363,66,True,False
Diplacus mephiticus,0.5627162629757786,0.4117647058823529,68,True,True
Diplotaxis tenuifolia,0.0973044049967126,0.0512820512820512,78,False,False
Disphyma crassifolium,0.4717066545948393,0.1489361702127659,47,True,False
Distimake aegyptius,0.0767999999999999,0.04,50,False,False
Distimake dissectus,0.2228377962449986,0.0701754385964912,57,False,False
Drosera spatulata,0.6803677663601947,0.3255813953488372,43,True,True
Dyssodia pinnata,0.0,0.0,78,False,False
Echium gaditanum,0.2814776274713838,0.1129032258064516,62,True,False
Echium rosulatum,0.4841580633677466,0.320754716981132,53,True,True
Ehretia anacua,0.0,0.0,50,False,False
Elephantopus carolinianus,0.1227887617065557,0.032258064516129,62,False,False
Epacris obtusifolia,0.2141582391433669,0.1219512195121951,41,True,False
Erechtites hieraciifolius,0.4762335898596649,0.3404255319148936,47,True,True
Erigeron foliosus,0.6024,0.24,50,True,True
Erigeron linearis,0.0886965927528393,0.0465116279069767,86,False,False
Eriodictyon crassifolium,0.1680384087791495,0.0925925925925925,54,False,False
Eriogonum jamesii,0.1400367309458219,0.0757575757575757,66,False,False
Eriogonum latifolium,0.2240816326530612,0.1285714285714285,70,True,False
Eriogonum niveum,0.0878099173553718,0.0227272727272727,44,False,False
Eriophorum vaginatum,0.345679012345679,0.2222222222222222,45,True,True
Eriophyllum confertiflorum,0.0,0.0,82,False,False
Eryngium planum,0.2137639369473281,0.0784313725490196,51,False,False
Erythranthe dentata,0.0579193584317219,0.0298507462686567,67,False,False
Erythranthe erubescens,0.5698765432098767,0.2888888888888888,45,True,True
Erythrina humeana,0.2921597633136095,0.1538461538461538,52,True,False
Eschscholzia minutiflora,0.0,0.0,72,False,False
Euonymus obovatus,0.4997025580011898,0.4878048780487805,41,True,True
Eupatorium altissimum,0.1943801652892562,0.109090909090909,55,True,False
Euphorbia cyparissias,0.0,0.0,85,False,False
Eurybia divaricata,0.086776859504132,0.0454545454545454,44,False,False
Eutrochium fistulosum,0.2933454051607062,0.1276595744680851,47,True,False
Eutrochium maculatum,0.2978723404255319,0.1063829787234042,47,True,False
Eysenhardtia texana,0.0831758034026464,0.0434782608695652,46,False,False
Falcaria vulgaris,0.0285654274312119,0.0144927536231884,69,False,False
Fritillaria pyrenaica,0.6889995473064736,0.3617021276595745,47,True,True
Galinsoga parviflora,0.35888671875,0.234375,64,True,True
Gazania rigens,0.0277722674072604,0.0140845070422535,71,False,False
Gentiana acaulis,0.2051180321364807,0.0845070422535211,71,False,False
Gentiana parryi,0.1649382716049382,0.0666666666666666,45,False,False
Geranium macrorrhizum,0.5244444444444445,0.2888888888888888,45,True,True
Geranium molle,0.6427514792899409,0.2692307692307692,52,True,True
Geranium richardsonii,0.0695153061224488,0.0178571428571428,56,False,False
Geranium yeoi,0.5840262030738221,0.4444444444444444,63,True,True
Geum canadense,0.0384467512495194,0.0196078431372549,51,False,False
Geum macrophyllum,0.0855424370683894,0.044776119402985,67,False,False
Geum urbanum,0.1155029585798816,0.0615384615384615,65,False,False
Gompholobium huegelii,0.3673094582185492,0.2424242424242424,66,True,True
Goodenia ovata,0.0525931336742147,0.027027027027027,74,False,False
Grevillea alpina,0.5770975056689343,0.4047619047619047,42,True,True
Grevillea lavandulacea,0.1247637051039697,0.0217391304347826,46,False,False
Guzmania monostachia,0.4404938271604938,0.2222222222222222,45,True,True
Hedypnois rhagadioloides,0.0322493953238376,0.0163934426229508,61,False,False
Helenium autumnale,0.0,0.0,81,False,False
Helianthus divaricatus,0.0677131425053862,0.0350877192982456,57,False,False
Hepatica acutiloba,0.0333237575409364,0.0169491525423728,59,False,False
Hibbertia cuneiformis,0.1222684703433923,0.0483870967741935,62,False,False
Hibiscus denudatus,0.3565088757396449,0.1346153846153846,52,True,False
Hofmeisteria fasciculata,0.1670918367346938,0.0535714285714285,56,False,False
Homogyne alpina,0.3656,0.14,50,True,False
Hyacinthoides non-scripta,0.1504971781779092,0.081967213114754,61,False,False
Hypocalymma robustum,0.2670891806247171,0.0638297872340425,47,False,False
Iliamna rivularis,0.2122781065088758,0.0576923076923076,52,False,False
Ipomoea cairica,0.5720486111111112,0.2083333333333333,48,True,True
Ipomoea pes-caprae,0.5512152777777778,0.1875,48,True,False
Jacobaea adonidifolia,0.0263111111111109,0.0133333333333333,75,False,False
Jaumea carnosa,0.051911111111111,0.0266666666666666,75,False,False
Johnstonella angustifolia,0.0,0.0,60,False,False
Lachenalia reflexa,0.0713305898491085,0.037037037037037,54,False,False
Lamprocapnos spectabilis,0.1550000000000001,0.0666666666666666,60,False,False
Lantana involucrata,0.1945153061224489,0.0892857142857142,56,False,False
