species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Acacia linifolia,0.2230902777777778,0.1041666666666666,-0.0128124140862778,True,False,discovery
Acacia ulicifolia,0.3324099722991689,0.2105263157894736,0.007739762952523,True,True,discovery
Aciphylla glacialis,0.1403621214548949,0.0759493670886076,0.0451457224463409,False,False,discovery
Aconitum delphiniifolium,0.1281241022694628,0.0508474576271186,0.1575461561615,False,False,discovery
Aconitum tauricum,0.0695153061224489,0.0178571428571428,-0.0331843264010568,False,False,discovery
Adoxa moschatellina,0.4834710743801652,0.4090909090909091,-0.0371345464578893,True,True,discovery
Aegopodium podagraria,0.0,0.0,-0.0296918807115217,False,False,discovery
Agapanthus praecox,0.5069419722321111,0.4150943396226415,0.0003334043391028,True,True,discovery
Ageratina havanensis,0.0,0.0,0.1004469560541719,False,False,discovery
Agrostemma githago,0.5745817016731933,0.2452830188679245,-0.070036582433975,True,True,discovery
Ajuga genevensis,0.1499375260308204,0.0816326530612244,-0.0404854220290404,False,False,discovery
Alchemilla alpina,0.3244170096021948,0.2037037037037037,-0.009925204154149,True,True,discovery
Allium drummondii,0.3386243386243387,0.1746031746031746,0.1595947316727739,True,False,discovery
Allium praecox,0.1178698224852071,0.0307692307692307,0.1651522752435775,False,False,discovery
Allium schoenoprasum,0.5895999999999999,0.22,-0.0365125038596188,True,True,discovery
Allium tuberosum,0.0579193584317219,0.0298507462686567,-0.0370237068917901,False,False,discovery
Althaea officinalis,0.1597242171789715,0.0338983050847457,-0.04233034820264,False,False,discovery
Alyxia buxifolia,0.3930864197530864,0.1777777777777777,0.0705174093884826,True,False,discovery
Amsinckia tessellata,0.0559183673469387,0.0142857142857142,-0.0027765984317636,False,False,discovery
Anchusa arvensis,0.5312,0.42,-0.0084429138702789,True,True,discovery
Andromeda polifolia,0.3021914648212226,0.1372549019607843,0.1068609281185346,True,False,discovery
Androsace villosa,0.0253122945430637,0.0128205128205128,0.024732912013562,False,False,discovery
Andryala integrifolia,0.3713505566057551,0.2463768115942029,0.0238140742457866,True,True,discovery
Anemone pavonina,0.5748148148148149,0.1777777777777777,-0.0362941381277284,True,False,discovery
Anemonoides blanda,0.3698224852071006,0.1923076923076923,0.0189079112723025,True,False,discovery
Anemonoides quinquefolia,0.0798611111111109,0.0416666666666666,0.0359641424208979,False,False,discovery
Antennaria dioica,0.286042240587695,0.1363636363636363,-0.0353052305205098,True,False,discovery
Aquilegia coerulea,0.5506198347107437,0.2954545454545454,0.0546865833349778,True,True,discovery
Asclepias incarnata,0.4398167430237402,0.3265306122448979,0.3522623994191758,True,True,discovery
Asclepias ovalifolia,0.1575505350772887,0.0862068965517241,0.0024742447313884,False,False,discovery
Asclepias perennis,0.0281632653061223,0.0142857142857142,0.0344760647233046,False,False,discovery
Asclepias quadrifolia,0.059228650137741,0.0151515151515151,0.0229167142895912,False,False,discovery
Asclepias viridis,0.43875,0.325,-0.0402749106829817,True,True,discovery
Astragalus glycyphyllos,0.4954648526077096,0.4523809523809524,0.0142809322105598,True,True,discovery
Austroflourensia thurifera,0.0350765306122449,0.0178571428571428,0.1017503749259882,False,False,discovery
Baptisia australis,0.1472,0.08,0.0584613290446999,False,False,discovery
Baptisia tinctoria,0.0,0.0,0.0013417611779127,False,False,discovery
Barbarea orthoceras,0.0277722674072604,0.0140845070422535,-0.0295406681440011,False,False,discovery
Bellis annua,0.0721874999999998,0.0375,0.021635993310422,False,False,discovery
Bidens aristosa,0.0499671268902037,0.0256410256410256,0.076406484573555,False,False,discovery
Bidens bipinnata,0.1207075962539023,0.064516129032258,0.19135428611403,False,False,discovery
Bidens cernua,0.03076171875,0.015625,0.1562545629661276,False,False,discovery
Biscutella laevigata,0.177742511406467,0.0985915492957746,0.1245024302229402,False,False,discovery
Brodiaea coronaria,0.0619803476946334,0.0158730158730158,0.0665766100078249,False,False,discovery
Bryonia alba,0.5425342058298632,0.4390243902439024,0.0880802246845914,True,True,discovery
Buddleja davidii,0.5959978366684695,0.3953488372093023,0.0212324907986466,True,True,discovery
Bursaria spinosa,0.0416478044363965,0.0212765957446808,0.1056484804752223,False,False,discovery
Calochortus concolor,0.1760856632956573,0.0975609756097561,0.0271107213511302,False,False,discovery
Calochortus flexuosus,0.2190753852561433,0.1020408163265306,-0.0193492880440015,True,False,discovery
Calochortus leichtlinii,0.1392318244170095,0.0555555555555555,-0.0846918807391032,False,False,discovery
Calochortus monophyllus,0.0,0.0,-0.0113511963720362,False,False,discovery
Calycadenia multiglandulosa,0.0,0.0,-0.1329192982770637,False,False,discovery
Calystegia tuguriorum,0.0783007080383174,0.0408163265306122,0.1087695816951846,False,False,discovery
Campanula latifolia,0.4418402777777778,0.2916666666666667,0.0911084936400579,True,True,discovery
Campanula patula,0.4470663265306123,0.1964285714285714,0.0044263051128039,True,False,discovery
Cardamine amara,0.029405212742259,0.0149253731343283,-0.0376748566777572,False,False,discovery
Cardamine concatenata,0.0886965927528393,0.0465116279069767,-0.0975327810945899,False,False,discovery
Cardamine hirsuta,0.0350765306122449,0.0178571428571428,-0.0073092674681713,False,False,discovery
Carlina hispanica,0.0338882282996433,0.0172413793103448,-0.0182180252875585,False,False,discovery
Carlina vulgaris,0.5275000000000001,0.375,-0.0301028919287335,True,True,discovery
Carthamus mitissimus,0.5805785123966942,0.4318181818181818,-0.0094925264955246,True,True,discovery
Castilleja exserta,0.3411989795918367,0.0714285714285714,0.1252462398334866,False,False,discovery
Castilleja foliolosa,0.5207939508506616,0.4782608695652174,-0.0440018932155842,True,True,discovery
Centranthus calcitrapae,0.197869822485207,0.0615384615384615,0.085603706987657,False,False,discovery
Centrosema virginianum,0.6489994591671173,0.3255813953488372,0.0326027168081295,True,True,discovery
Cerastium fontanum,0.0677131425053862,0.0350877192982456,-0.0640210990275255,False,False,discovery
Chaenorhinum origanifolium,0.5539358600583091,0.4285714285714285,0.1758160885786372,True,True,discovery
Chelone lyonii,0.4723032069970845,0.2653061224489796,-0.0167852429932366,True,True,discovery
Chondrilla juncea,0.2355371900826446,0.1363636363636363,0.067130007683664,True,False,discovery
Cipura campanulata,0.1975308641975308,0.1111111111111111,-0.0312857425958652,True,False,discovery
Cistus albidus,0.6010701545778834,0.2068965517241379,-0.0155820012073566,True,True,discovery
Cistus crispus,0.17236328125,0.078125,0.0890074476836995,False,False,discovery
Clematis virginiana,0.0399833402748854,0.0204081632653061,0.0740854066820603,False,False,discovery
Clinopodium alpinum,0.2043431826272694,0.0943396226415094,0.0869153786611546,False,False,discovery
Cneoridium dumosum,0.3064000000000001,0.14,-0.0049302331046611,True,False,discovery
Cochlospermum vitifolium,0.0807291666666665,0.0208333333333333,-0.0175116554934734,False,False,discovery
Coleogyne ramosissima,0.0748861528082307,0.0389610389610389,0.0455717769245181,False,False,discovery
Coleostephus myconis,0.0,0.0,0.0285414187141639,False,False,discovery
Collinsia grandiflora,0.2297668038408779,0.1111111111111111,0.1041338947526362,True,False,discovery
Commelina benghalensis,0.5159554017685506,0.2941176470588235,0.050581291305409,True,True,discovery
Commelina communis,0.2078402366863906,0.0961538461538461,0.0808119408992423,False,False,discovery
Commelina diffusa,0.4757253662740591,0.3898305084745763,0.0057622241010852,True,True,discovery
Conoclinium betonicifolium,0.1977857008819665,0.0958904109589041,0.0313415117606806,False,False,discovery
Conopholis alpina,0.3106508875739644,0.1923076923076923,-0.0707269278925489,True,False,discovery
Conospermum caeruleum,0.4038165589412126,0.2807017543859649,0.0525403987214755,True,True,discovery
Convolvulus elegantissimus,0.5826397146254458,0.3793103448275862,-0.096929275729656,True,True,discovery
Cornus florida,0.2149104539775095,0.1224489795918367,-0.0029630222630819,True,False,discovery
Cornus sanguinea,0.1499375260308204,0.0816326530612244,0.0186758876438733,False,False,discovery
Cornus suecica,0.0350765306122449,0.0178571428571428,-0.0898673180240173,False,False,discovery
Corydalis aurea,0.0281632653061223,0.0142857142857142,-0.018223767325758,False,False,discovery
Cotula coronopifolia,0.0240928019036288,0.0121951219512195,0.0141936329087276,False,False,discovery
Crepis biennis,0.0322493953238376,0.0163934426229508,-0.0074569844715287,False,False,discovery
Crepis sancta,0.0579193584317219,0.0298507462686567,-0.0614189653085001,False,False,discovery
