species,D,D_min4,D_max4,D_interval_width,ambiguous_palette_rate,technical_failure_rate
Abutilon fruticosum,0.2114571318723568,0.1945153061224489,0.3405612244897958,0.1460459183673469,0.05,0.44
Acacia saligna,0.0350765306122449,0.0338882282996433,0.0998810939357907,0.0659928656361473,0.02,0.42
Achillea millefolium,0.0496715269988784,0.0484682213077274,0.0954122847126961,0.0469440634049687,0.02,0.19
Actaea spicata,0.1189216427311665,0.1171875,0.14599609375,0.02880859375,0.01,0.36
Adenium multiflorum,0.2662500000000001,0.2107988165680473,0.5325443786982248,0.3217455621301774,0.12,0.47
Adenostyles alliariae,0.628099173553719,0.556122448979592,0.7193877551020409,0.1632653061224489,0.12,0.43
Aechmea distichantha,0.2586805555555556,0.2452902729719337,0.3391003460207613,0.0938100730488276,0.03,0.49
Aegiceras corniculatum,0.2903033908387865,0.2790697674418604,0.3526230394808005,0.0735532720389401,0.02,0.57
Aethusa cynapium,0.0270219553387127,0.026661796932067,0.0529583637691744,0.0262965668371073,0.01,0.26
Agrimonia pilosa,0.1049382716049383,0.1035841621317319,0.1291048977294051,0.0255207355976732,0.01,0.27
Aliciella latifolia,0.2790697674418604,0.2335350658597365,0.5040939836240655,0.270558917764329,0.1,0.47
Alliaria petiolata,0.152647137866165,0.1503642039542144,0.1795005202913632,0.0291363163371487,0.01,0.38
Allium scorodoprasum,0.6304,0.527681660899654,0.726643598615917,0.198961937716263,0.18,0.32
Allium vineale,0.4773242630385487,0.401566393734425,0.6322534709861161,0.230687077251691,0.11,0.47
Amsonia tomentosa,0.0,0.0,0.0,0.0,0.0,0.37
Anarrhinum bellidifolium,0.5051239669421488,0.4751410911045418,0.5885514646600376,0.1134103735554957,0.06,0.39
Andersonglossum virginianum,0.0992865636147443,0.0992865636147443,0.0992865636147443,0.0,0.0,0.42
Anemone palmata,0.22840790842872,0.22216796875,0.27490234375,0.052734375,0.02,0.36
Anemone virginiana,0.2659279778393353,0.2621878715814505,0.2907253269916765,0.028537455410226,0.01,0.42
Anemopsis californica,0.1207075962539023,0.1189216427311665,0.1481481481481482,0.0292265054169816,0.01,0.37
Antennaria racemosa,0.2423668639053254,0.2392102846648302,0.2649219467401286,0.0257116620752984,0.01,0.34
Aotus ericoides,0.0370238519045924,0.0370238519045924,0.0370238519045924,0.0,0.0,0.47
Aphyllanthes monspeliensis,0.5058864265927977,0.4971803078798964,0.5624142661179699,0.0652339582380734,0.05,0.19
