effect_size,imbalance_ratio,missing_fraction,naive_detection,equal_matched_detection,pair_weighted_matched_detection,species_rho_ttest_detection,equal_rho_median,pair_weighted_rho_median,ttest_mean_rho_median
0.0,1.0,0.0,1.0,0.025,0.025,0.05,-1.625543314849392e-05,-1.6255433148495545e-05,-1.625543314849392e-05
0.0,1.0,0.25,1.0,0.025,0.025,0.05,-0.001127906002962708,0.001928174400683949,-0.001127906002962708
0.0,1.0,0.5,1.0,0.0,0.025,0.0,-0.005395252348388927,-0.00553764625804858,-0.005395252348388927
0.0,4.0,0.0,1.0,0.025,0.0,0.025,-0.004170688058509111,-0.0055612967942768555,-0.004170688058509111
0.0,4.0,0.25,1.0,0.0,0.025,0.05,0.0028404299440313663,0.0024653238171735243,0.0028404299440313663
0.0,4.0,0.5,1.0,0.025,0.0,0.0,-0.003674353124432539,-0.009200706228720134,-0.003674353124432539
0.8,1.0,0.0,1.0,0.275,0.275,0.35,0.040689950054459315,0.040689950054459315,0.040689950054459315
0.8,1.0,0.25,1.0,0.25,0.25,0.175,0.0413258706342783,0.03913354018256843,0.0413258706342783
0.8,1.0,0.5,1.0,0.225,0.2,0.2,0.03057776254932011,0.03239225080142109,0.03057776254932011
0.8,4.0,0.0,1.0,0.675,0.575,0.7,0.05276076402007185,0.049417157620767156,0.05276076402007185
0.8,4.0,0.25,1.0,0.425,0.325,0.525,0.046107535694982105,0.03897205185566618,0.046107535694982105
0.8,4.0,0.5,1.0,0.35,0.325,0.35,0.0407384877172437,0.03673182325088871,0.0407384877172437
1.6,1.0,0.0,1.0,1.0,1.0,1.0,0.15117839759110469,0.15117839759110469,0.15117839759110469
1.6,1.0,0.25,1.0,1.0,0.95,0.975,0.1528978062411518,0.1560322137099634,0.1528978062411518
1.6,1.0,0.5,1.0,0.75,0.725,0.8,0.1147547980278622,0.11945486217263673,0.1147547980278622
1.6,4.0,0.0,1.0,1.0,1.0,1.0,0.15261237913801146,0.14794389752963738,0.15261237913801146
1.6,4.0,0.25,1.0,1.0,1.0,1.0,0.14683137638194768,0.14700690134032457,0.14683137638194768
1.6,4.0,0.5,1.0,1.0,1.0,1.0,0.1435837879570266,0.14542003637779122,0.1435837879570266
2.4,1.0,0.0,1.0,1.0,1.0,1.0,0.2295128111564206,0.22951281115642064,0.2295128111564206
2.4,1.0,0.25,1.0,1.0,1.0,1.0,0.2305038106342111,0.2389328964639801,0.2305038106342111
2.4,1.0,0.5,1.0,1.0,1.0,1.0,0.24034345364985943,0.2417150175354864,0.24034345364985943
2.4,4.0,0.0,1.0,1.0,1.0,1.0,0.2598214211741914,0.26382666139285116,0.2598214211741914
2.4,4.0,0.25,1.0,1.0,1.0,1.0,0.24815423448921664,0.2460684749516276,0.24815423448921664
2.4,4.0,0.5,1.0,1.0,1.0,1.0,0.23845945174030175,0.25060326775281677,0.23845945174030175
