species,n,D,second_fraction,T,R1,R2,R12,SD_M1,SD_M2,mean_M1,mean_M2,p_white,p_yellow_orange,p_red_pink,p_blue_purple
Acacia linifolia,48,0.2230902777777778,0.10416666666666667,0.10750399453163245,0.288556363679379,0.3341410976759596,0.6226974613553387,0.1761276859072863,0.1895296882742913,-0.3387484342220466,0.3914025927622182,0.875,0.10416666666666667,0.020833333333333332,0.0
Acacia ulicifolia,76,0.3324099722991689,0.21052631578947367,0.09805048823702486,0.30355536008038514,0.33853631563791486,0.6420916757183,0.17252174142074864,0.1821912485117249,-0.3673550795736958,0.37284245279427763,0.7894736842105263,0.21052631578947367,0.0,0.0
Aciphylla glacialis,79,0.1403621214548949,0.0759493670886076,0.07761027450652597,0.28603610147961417,0.3733118408012823,0.6593479422808965,0.14899443061607834,0.17021408414442102,-0.3241847063852951,0.41561847860068424,0.9240506329113924,0.0759493670886076,0.0,0.0
Aconitum delphiniifolium,59,0.1281241022694628,0.05084745762711865,0.12224275640620541,0.055657308636616075,0.10549459557144504,0.1611519042080611,0.08248456111231273,0.11356033703988075,-0.05791738321321367,-0.005414844451703915,0.05084745762711865,0.0,0.01694915254237288,0.9322033898305084
Aconitum tauricum,56,0.06951530612244894,0.017857142857142856,0.11913633250865195,0.027885944899333482,0.04586160297986545,0.07374754787919893,0.05763878211625347,0.07391740784138086,-0.03843670710443291,-0.062249119563167865,0.017857142857142856,0.017857142857142856,0.0,0.9642857142857143
Adoxa moschatellina,44,0.48347107438016523,0.4090909090909091,0.21546904594507485,0.40865656258594124,0.26111956140475834,0.6697761239906996,0.29673698734668474,0.2371986146112149,0.16923603908180837,0.33387318355430123,0.5909090909090909,0.4090909090909091,0.0,0.0
Aegopodium podagraria,80,0.0,0.0,0.06087699169416886,0.7201857872640075,0.15799246697264843,0.878178254236656,0.2093865902810623,0.09807194348862046,-0.16360588678115026,0.4740473197346667,1.0,0.0,0.0,0.0
Agapanthus praecox,53,0.5069419722321111,0.41509433962264153,0.13496970152370344,0.09983095706695673,0.2227603021511465,0.3225912592181032,0.11607822568489239,0.1733951887817832,-0.1881448236304286,0.09151444261229644,0.41509433962264153,0.018867924528301886,0.0,0.5660377358490566
Ageratina havanensis,70,0.0,0.0,0.04439843607730704,0.36119542618303846,0.393329274171775,0.7545247003548136,0.1266353506758808,0.13214841897143198,-0.41658642790514194,0.4126273655390636,1.0,0.0,0.0,0.0
Agrostemma githago,53,0.5745817016731933,0.24528301886792453,0.22865280059527027,0.0708378915398357,0.08561427963965881,0.1564521711794945,0.1272685439880862,0.13991406223305297,-0.0813773367628574,0.06025670468767996,0.1509433962264151,0.018867924528301886,0.5849056603773585,0.24528301886792453
Ajuga genevensis,49,0.14993752603082044,0.08163265306122448,0.10321970342507808,0.04520381250162254,0.15349263926127285,0.19869645176289538,0.06830757000582233,0.1258708254619834,-0.10468034839796267,-0.003507228769706212,0.08163265306122448,0.0,0.0,0.9183673469387755
Alchemilla alpina,54,0.3244170096021948,0.2037037037037037,0.15790471233835363,0.1500351221246177,0.29405056463008733,0.44408568675470506,0.1539196309758359,0.21548078759101563,0.16938399355247993,0.09014287444988021,0.2037037037037037,0.7962962962962963,0.0,0.0
Allium drummondii,63,0.3386243386243387,0.1746031746031746,0.12572359652520243,0.2177734259876639,0.3449793811456966,0.5627528071333605,0.16546678924419875,0.20825957006744147,-0.36462136172807325,0.35775253379414385,0.7936507936507936,0.0,0.1746031746031746,0.031746031746031744
Allium praecox,65,0.11786982248520717,0.03076923076923077,0.0794913642150761,0.20790691721322518,0.371136029017396,0.5790429462306212,0.12855661974021468,0.1717617805449131,-0.45178094453146095,0.402661264999811,0.9384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385
Allium schoenoprasum,50,0.5895999999999999,0.22,0.15282636321009846,0.16815468744719514,0.24289351315422777,0.41104820060142294,0.16030742134812612,0.1926668945685398,-0.24237218508574845,0.14205052910871316,0.56,0.0,0.22,0.22
Allium tuberosum,67,0.05791935843172191,0.029850746268656716,0.05460019924935013,0.348737081690316,0.40998454870197887,0.7587216303922948,0.13798954361084084,0.14961697112387662,-0.3818780729532036,0.4809096116280582,0.9701492537313433,0.029850746268656716,0.0,0.0
Althaea officinalis,59,0.15972421717897156,0.03389830508474576,0.12129322944201452,0.33547662239649534,0.40734259221212604,0.7428192146086214,0.20172020952985883,0.22227887551157516,-0.4044371787187062,0.415804671845402,0.9152542372881356,0.03389830508474576,0.03389830508474576,0.01694915254237288
Alyxia buxifolia,45,0.39308641975308645,0.17777777777777778,0.1860876423484859,0.3719601949295177,0.31861321042597635,0.690573405355494,0.26309161089232247,0.24349534112432616,-0.39080364815300517,0.4012483204119413,0.7555555555555555,0.17777777777777778,0.06666666666666667,0.0
Amsinckia tessellata,70,0.05591836734693878,0.014285714285714285,0.08482014604262278,0.0870106285410316,0.09258176271293668,0.17959239125396828,0.085908405992142,0.08861601793239604,0.07122540165036417,-0.1299625306898696,0.014285714285714285,0.9714285714285714,0.0,0.014285714285714285
Anchusa arvensis,50,0.5312,0.42,0.16518854708001118,0.29504195024699176,0.24131207418080422,0.5363540244277959,0.22076582862606595,0.1996546792008415,-0.22130084974269387,0.2511068432366966,0.54,0.02,0.02,0.42
Andromeda polifolia,51,0.3021914648212226,0.13725490196078433,0.12245156848608514,0.16864301406304236,0.31611783348182443,0.48476084754486676,0.14370317180299275,0.1967463456745067,-0.37866211580798703,0.29450446476303616,0.8235294117647058,0.0196078431372549,0.13725490196078433,0.0196078431372549
Androsace villosa,78,0.025312294543063718,0.01282051282051282,0.0270986610339023,0.20933355382618865,0.44097003840682875,0.6503035922330175,0.07531705662171104,0.10931467237701227,-0.4899205495846307,0.45817034324795686,0.9871794871794872,0.01282051282051282,0.0,0.0
Andryala integrifolia,69,0.3713505566057551,0.2463768115942029,0.17795068445167103,0.28932917545464093,0.2826768622214908,0.5720060376761318,0.22690598230102035,0.22428227997540284,0.003574940291020509,0.07188867965744213,0.2463768115942029,0.7536231884057971,0.0,0.0
Anemone pavonina,45,0.5748148148148149,0.17777777777777778,0.3779538585386522,0.11229983543159848,0.08874634383995014,0.2010461792715486,0.2060197954436134,0.18314481451984138,-0.07954124085097244,0.08461072152692012,0.17777777777777778,0.044444444444444446,0.6,0.17777777777777778
Anemonoides blanda,52,0.3698224852071006,0.19230769230769232,0.26534609146845795,0.20453297507869186,0.19929104327733826,0.4038240183560301,0.23296357121564396,0.22995890806470845,-0.10673702691694638,0.12718235927301372,0.19230769230769232,0.038461538461538464,0.0,0.7692307692307693
Anemonoides quinquefolia,48,0.07986111111111094,0.041666666666666664,0.09273594664689142,0.6744369750414236,0.207301444861522,0.8817384199029455,0.2500890867953504,0.13865170655459536,-0.5174412526233627,0.6039212155771503,0.9583333333333334,0.041666666666666664,0.0,0.0
Antennaria dioica,66,0.286042240587695,0.13636363636363635,0.12263990176725545,0.2795529462590817,0.37981942147719133,0.6593723677362732,0.1851603247673773,0.21582635737846878,-0.3976975744090799,0.36380833813756075,0.8333333333333334,0.030303030303030304,0.13636363636363635,0.0
Aquilegia coerulea,44,0.5506198347107437,0.29545454545454547,0.2540482476891017,0.3143149336813961,0.23247515063958432,0.5467900843209804,0.28257947222732743,0.24302243651820785,-0.2664746205559812,0.28488445467422785,0.5909090909090909,0.29545454545454547,0.0,0.11363636363636363
Asclepias incarnata,49,0.4398167430237402,0.32653061224489793,0.11016050534876659,0.1815220107253182,0.3266219348478077,0.5081439455731259,0.14140918086682097,0.1896861550056472,-0.18659377635158853,0.06822614229303146,0.32653061224489793,0.0,0.673469387755102,0.0
Asclepias ovalifolia,58,0.15755053507728878,0.08620689655172414,0.0764610219520898,0.3727872031873531,0.30097347772526334,0.6737606809126164,0.1688303602032714,0.15169950457186132,-0.3643923111414903,0.48056959006068933,0.9137931034482759,0.08620689655172414,0.0,0.0
Asclepias perennis,70,0.028163265306122343,0.014285714285714285,0.0361850613825079,0.2986777165670885,0.4265530294148521,0.7252307459819406,0.10395995146000886,0.12423706191097372,-0.44959339931736836,0.4694868677190445,0.9857142857142858,0.014285714285714285,0.0,0.0
Asclepias quadrifolia,66,0.059228650137741035,0.015151515151515152,0.0733041760642001,0.4121768310366157,0.31769533219459395,0.7298721632312096,0.17382256180338654,0.15260535562675073,-0.43659067893319786,0.4885913493092506,0.9696969696969697,0.015151515151515152,0.015151515151515152,0.0
Asclepias viridis,40,0.43875,0.325,0.17268339303468716,0.36204019525105197,0.26835777765681745,0.6303979729078694,0.2500366559744636,0.21526943952411687,-0.09118103537739161,0.2625506081186085,0.675,0.325,0.0,0.0
Astragalus glycyphyllos,42,0.49546485260770967,0.4523809523809524,0.19192774041028776,0.29135571916167663,0.3288762056244819,0.6202319247861585,0.23647250333667755,0.2512378693991334,0.023140377561855326,0.28184489644085253,0.4523809523809524,0.5476190476190477,0.0,0.0
Austroflourensia thurifera,56,0.035076530612244916,0.017857142857142856,0.07639735690008909,0.12891836556154648,0.16110499952385127,0.2900233650853977,0.09924224092986624,0.11094140862190432,0.10463756054125542,-0.1690626477223667,0.017857142857142856,0.9821428571428571,0.0,0.0
Baptisia australis,75,0.1472,0.08,0.10362486456944918,0.09075191166945049,0.09752013841917814,0.1882720500886286,0.09697502026896111,0.10052617140069187,-0.11084236919629205,0.04208684759651296,0.08,0.0,0.0,0.92
Baptisia tinctoria,75,0.0,0.0,0.06048343175204966,0.11825898213229047,0.22097048042518722,0.3392294625574777,0.08457369020484595,0.11560732231141088,0.16785812541343445,-0.10401550529185111,0.0,1.0,0.0,0.0
Barbarea orthoceras,71,0.027772267407260465,0.014084507042253521,0.0775806502773826,0.10058927244505725,0.17922974460008084,0.2798190170451381,0.08833901271361566,0.11791844696706057,0.17013185155370342,-0.11193497065310698,0.014084507042253521,0.9859154929577465,0.0,0.0
Bellis annua,80,0.07218749999999985,0.0375,0.0626117171675358,0.34150743231465375,0.3518488089523835,0.6933562412670373,0.14622710679862497,0.1484245872888349,-0.3988930872852009,0.41398008097329775,0.9625,0.0375,0.0,0.0
Bidens aristosa,78,0.04996712689020377,0.02564102564102564,0.06163409229735508,0.15750935019008705,0.2954969250594766,0.4530062752495636,0.09852890858683175,0.13495438026496362,0.12321873884535925,-0.17199427994077798,0.02564102564102564,0.9743589743589743,0.0,0.0
Bidens bipinnata,62,0.12070759625390237,0.06451612903225806,0.13665274415614936,0.23259147359913993,0.23789351892892738,0.4704849925280673,0.17828141556159197,0.18030197497143724,0.1278249701683822,-0.04013625800794659,0.06451612903225806,0.9354838709677419,0.0,0.0
Bidens cernua,64,0.03076171875,0.015625,0.10238370040432795,0.1042885760717219,0.11820784438821297,0.22249642045993487,0.10333174888736349,0.11001161995573112,0.11794098351767571,-0.14420069767714608,0.015625,0.984375,0.0,0.0
