genus,discovery_n,reserve_n,discovery_mean_D,reserve_mean_D
Allium,4,2,0.2760033798853169,0.5538621315192743
Asclepias,5,3,0.22470183870897845,0.20515359168241962
Calochortus,4,2,0.13359821824220253,0.4235339538984664
Cardamine,3,2,0.05105944536911441,0.03430028065231655
Cornus,3,2,0.13330817020685826,0.077141264553436
Delphinium,2,3,0.1541229268967221,0.2246085383501315
Erigeron,2,6,0.34554829637641965,0.19347363353725064
Erythranthe,2,3,0.3138979508207993,0.0479567617032228
Gentiana,2,2,0.18502815187070945,0.1320082117361638
Geranium,4,3,0.45518435823266407,0.24057643674905863
Ipomoea,2,4,0.5616319444444444,0.35373104300346514
Lathyrus,3,3,0.40383724811423133,0.18491647511588563
Linum,2,2,0.3205883910186703,0.4550680016041765
Lupinus,3,3,0.29775382603364625,0.30763272273779446
Lysimachia,2,4,0.1031006531938705,0.0670241909608932
Ranunculus,4,4,0.12511550598301868,0.10247224075174145
Rosa,2,2,0.3341755207300138,0.610276137651339
Rubus,3,3,0.21651684502576285,0.10293520366697484
Salvia,6,7,0.4634569878500885,0.33606968436700335
Senecio,4,2,0.07526209793607797,0.08364475129878506
Trifolium,2,4,0.17565540762656134,0.3330395983989223
Veronica,6,5,0.3615546011384914,0.28206663440675916
Viola,8,4,0.31475368426404393,0.19654391074386263
