species,n_classifiable,H1_coarse_primary_morph,H1_coarse_secondary_morph,H1_coarse_second_fraction,continuous_major_n,continuous_minor_n,continuous_minor_fraction,continuous_hellinger_separation_ratio,continuous_vs_coarse_nmi,delta_norm,coarse_n_white,coarse_n_yellow_orange,coarse_n_red_pink,coarse_n_blue_purple,mu1_white,mu2_white,delta_white,mu1_yellow,mu2_yellow,delta_yellow,mu1_orange,mu2_orange,delta_orange,mu1_red,mu2_red,delta_red,mu1_pink,mu2_pink,delta_pink,mu1_magenta,mu2_magenta,delta_magenta,mu1_purple,mu2_purple,delta_purple,mu1_blue,mu2_blue,delta_blue,mu1_bronze,mu2_bronze,delta_bronze
Abutilon theophrasti,45,yellow_orange,white,0.1111111111111111,38,7,0.15555555555555556,2.6497202913269313,0.7434492165244949,0.9474009611923716,5,39,0,1,0.06461467046979498,0.6933910742711795,0.6287764038013846,0.7609175345438938,0.060509007576248726,-0.700408526967645,0.058321478983900166,0.0088126459625701,-0.049508833021330065,0.0,0.0,0.0,9.064986183724476e-05,0.0,-9.064986183724476e-05,0.0,0.0,0.0,4.9595588087347376e-05,0.0,-4.9595588087347376e-05,0.0006430903471981631,0.0915410083162586,0.09089791796906044,0.1153629802052883,0.145746263873743,0.030383283668454705
Acacia dealbata,49,yellow_orange,white,0.1836734693877551,39,10,0.20408163265306123,2.202258307494325,0.8357785276196281,0.7807263285355086,9,40,0,0,0.09678533877292857,0.6796062537188645,0.5828209149459359,0.6340309173436847,0.12097673508522863,-0.513054182258456,0.0057355225671618364,5.1602618544520004e-05,-0.005683919948617317,0.0009244236449787644,0.0,-0.0009244236449787644,0.0005978638299890488,0.0,-0.0005978638299890488,0.0,0.0,0.0,2.153184332977436e-05,0.0,-2.153184332977436e-05,0.008838927325227586,0.025734277642408942,0.016895350317181354,0.2530654746726997,0.1736311309349534,-0.0794343437377463
Agastache urticifolia,53,white,yellow_orange,0.11320754716981132,29,24,0.4528301886792453,1.216480191937612,0.19801794282464774,0.38704303078958147,45,6,0,2,0.8234584695604423,0.5508097493467686,-0.2726487202136737,0.01950090189839404,0.06010132497249049,0.04060042307409645,0.0001548037978944819,0.002632216285919212,0.00247741248802473,0.0017777675260033487,6.0907033767833356e-05,-0.0017168604922355153,0.030210371044211218,0.06370564033600123,0.03349526929179002,0.0,0.0008061883140934046,0.0008061883140934046,0.0070338329450658574,0.00203056622081172,-0.005003266724254137,0.06128280723402376,0.0006298225273720235,-0.06065298470665174,0.05658104599396522,0.31922358496277525,0.26264253896881
Ageratina occidentalis,56,white,red_pink,0.125,32,24,0.42857142857142855,2.0080236204512962,0.23276334822511457,0.45353166471974365,49,0,7,0,0.8560724370304416,0.5427400002261173,-0.3133324368043242,0.0007773595096038029,0.0009496697949087995,0.0001723102853049966,3.4932463903118756e-05,8.415978239646663e-07,-3.409086607915409e-05,0.0010223384060358684,0.0033219068418637297,0.0022995684358278613,0.039926985899836856,0.3654598075640647,0.32553282166422787,1.2539751010703933e-06,0.0030489260969667926,0.0030476721218657223,0.0030477745000454994,0.024624097310776433,0.021576322810730936,0.011884599334565663,0.004320685548787621,-0.007563913785778042,0.08723231888046638,0.05553406501869051,-0.031698253861775876
Allium cratericola,51,red_pink,white,0.4117647058823529,44,7,0.13725490196078433,1.9475994940590076,0.515067749502767,0.7060069768966785,21,6,24,0,0.4345108047217226,0.1451592546055058,-0.2893515501162168,0.02046261506642052,0.5020845430813188,0.4816219280148983,0.0012249428488150986,0.020693348929931115,0.019468406081116017,0.008507453325506285,0.003409432459929086,-0.0050980208655771984,0.4065328704384545,0.03986224523018332,-0.36667062520827115,0.03973734100097961,0.01248418222926316,-0.027253158771716447,0.02699636812167161,0.0006790347357576574,-0.026317333385913952,0.00196930829362029,0.0,-0.00196930829362029,0.06005829618280964,0.2756279587281111,0.21556966254530144
Anthemis cotula,75,white,yellow_orange,0.10666666666666667,39,36,0.48,1.3406839069767416,0.03720523637483188,0.16467855223112718,67,8,0,0,0.7287784874819014,0.6183649676919791,-0.11041351978992231,0.23459281076146624,0.20644905164270855,-0.02814375911875769,0.002719406440126264,0.020023451162678476,0.01730404472255221,0.0,8.133482059861113e-06,8.133482059861113e-06,0.0008989326336485459,0.0003241139634375466,-0.0005748186702109993,1.0595027329872998e-06,1.3493528503727782e-05,1.2434025770740481e-05,9.914648638152174e-05,5.493309648625279e-05,-4.4213389895268955e-05,0.0004961145231482729,0.004799847026930135,0.004303732503781862,0.03241404217059496,0.14996200840521628,0.11754796623462133
Apocynum cannabinum,52,white,yellow_orange,0.21153846153846154,35,17,0.3269230769230769,2.288910796996729,0.531890316072095,0.6563252707103547,41,11,0,0,0.864063828838041,0.3711224854230432,-0.4929413434149978,0.08431897909240142,0.5122126077188714,0.42789362862647,4.410589379259143e-05,0.0013279439599839127,0.0012838380661913213,6.481413672316561e-06,3.568712207895295e-05,2.920570840663639e-05,0.002149682770804719,0.0010610441659828944,-0.0010886386048218246,0.0,1.4304173481011768e-05,1.4304173481011768e-05,0.00022245503852235722,1.907223130801765e-05,-0.00020338280721433956,0.003288738452428364,0.0,-0.003288738452428364,0.04590572850033705,0.11420685520525066,0.06830112670491362
Aquilegia vulgaris,49,blue_purple,white,0.30612244897959184,27,22,0.4489795918367347,1.9108107997180417,0.7410437317618639,0.7143778178239384,15,0,8,26,0.18391473215521112,0.6089841611561763,0.4250694290009651,0.01196689835672684,0.02505810419286149,0.01309120583613465,0.0,0.00011865571292966758,0.00011865571292966758,1.79236391167963e-05,0.0034916681270050283,0.003473744487888232,0.021062061995224975,0.25093110751519804,0.22986904551997306,0.0045080976313373305,0.02282277989354424,0.018314682262206908,0.3626467489158582,0.01940774326702413,-0.34323900564883403,0.40351105737681403,0.008373655203649995,-0.395137402173164,0.01237247992971076,0.06081212493161119,0.048439645001900435
Aralia californica,57,white,yellow_orange,0.15789473684210525,48,9,0.15789473684210525,3.4934571400916554,0.6782060722531836,0.9683326201752592,48,9,0,0,0.8993908558291327,0.22026832938137778,-0.679122526447755,0.026410439979046768,0.716185754674104,0.6897753146950572,7.96425317355079e-06,0.012160348198722285,0.012152383945548734,3.976469091210418e-06,0.0018857326271866448,0.0018817561580954344,0.0013941686497911034,0.0,-0.0013941686497911034,3.976469091210418e-06,0.0,-3.976469091210418e-06,2.3957345263639088e-05,0.0,-2.3957345263639088e-05,0.0005220393116289864,0.0,-0.0005220393116289864,0.07224262169378058,0.049499835118609316,-0.022742786575171266
Aralia nudicaulis,46,white,yellow_orange,0.21739130434782608,39,7,0.15217391304347827,2.882530668067483,0.6214668844721425,0.9992766494910973,36,10,0,0,0.829885416671581,0.08901254733688176,-0.7408728693346992,0.07146715538663297,0.7377513381966982,0.6662841828100653,0.0003912903374303718,0.00014626103605998574,-0.00024502930137038607,0.0,0.0,0.0,0.0003267786970735719,0.0,-0.0003267786970735719,0.0,0.0,0.0,0.00037121055887811796,0.0,-0.00037121055887811796,0.0001404634353758462,0.0,-0.0001404634353758462,0.09741768491302803,0.17308985343036004,0.07567216851733201
