permutation_index,mean_rho,subset,metric
0,-0.008023318768174638,second_ge_0.10,primary
1,0.003706519800490624,second_ge_0.10,primary
2,0.006091917902026344,second_ge_0.10,primary
3,-0.005370833198442714,second_ge_0.10,primary
4,-0.0026320217787376395,second_ge_0.10,primary
5,0.005918165465493393,second_ge_0.10,primary
6,-0.0012413993830793072,second_ge_0.10,primary
7,-0.0007383169565198748,second_ge_0.10,primary
8,-0.004487426087103749,second_ge_0.10,primary
9,-0.006814276632250129,second_ge_0.10,primary
10,-0.004422924179759639,second_ge_0.10,primary
11,0.0022112860002398245,second_ge_0.10,primary
12,-0.0007369703143751392,second_ge_0.10,primary
13,0.0061709789622396045,second_ge_0.10,primary
14,0.0013078067185020748,second_ge_0.10,primary
15,-0.003148240520600734,second_ge_0.10,primary
16,-0.002249957100307116,second_ge_0.10,primary
17,-0.001918378821886662,second_ge_0.10,primary
18,-0.00029871596541931823,second_ge_0.10,primary
19,-0.0023035759462457736,second_ge_0.10,primary
20,0.0015787907291580216,second_ge_0.10,primary
21,0.0009643513265360649,second_ge_0.10,primary
22,-0.0013818139431645876,second_ge_0.10,primary
23,-0.008793363164755909,second_ge_0.10,primary
24,0.01136935832840086,second_ge_0.10,primary
25,0.0032035785263138574,second_ge_0.10,primary
26,-0.0012338025014508494,second_ge_0.10,primary
27,0.003155986265659149,second_ge_0.10,primary
28,0.006711150843063973,second_ge_0.10,primary
29,0.003975385098324003,second_ge_0.10,primary
30,-0.002628685030720246,second_ge_0.10,primary
31,0.004335532252935342,second_ge_0.10,primary
32,0.005283526680803516,second_ge_0.10,primary
33,-0.0018999024046235688,second_ge_0.10,primary
34,-0.0016197332106053985,second_ge_0.10,primary
35,0.006150716453449189,second_ge_0.10,primary
36,0.003550521023992229,second_ge_0.10,primary
37,0.002276892476778883,second_ge_0.10,primary
38,-0.00607899814030875,second_ge_0.10,primary
39,-0.007342577519680598,second_ge_0.10,primary
40,0.003706418042360822,second_ge_0.10,primary
41,-0.001173435577586495,second_ge_0.10,primary
42,-0.004498505227889503,second_ge_0.10,primary
43,-0.009299514599874834,second_ge_0.10,primary
44,-0.0032443971753338997,second_ge_0.10,primary
45,0.005031146977736852,second_ge_0.10,primary
46,0.0032155709529241403,second_ge_0.10,primary
47,0.002130635654547074,second_ge_0.10,primary
48,0.004962304221276373,second_ge_0.10,primary
49,-0.005423055349076826,second_ge_0.10,primary
50,0.002681684205941025,second_ge_0.10,primary
51,0.013417692521048774,second_ge_0.10,primary
52,0.007898954548893751,second_ge_0.10,primary
53,-0.006766767009898479,second_ge_0.10,primary
54,0.001342691411322957,second_ge_0.10,primary
55,0.005993853627942543,second_ge_0.10,primary
56,-0.004268892770107478,second_ge_0.10,primary
57,-0.006129058671551927,second_ge_0.10,primary
58,-0.004182558907217537,second_ge_0.10,primary
