species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho
Acacia linifolia,48,0.2230902777777778,0.10416666666666667,True,False,-0.0128124140862778
Acacia ulicifolia,76,0.3324099722991689,0.21052631578947367,True,True,0.007739762952523
Aciphylla glacialis,79,0.1403621214548949,0.0759493670886076,False,False,0.0451457224463409
Aconitum delphiniifolium,59,0.1281241022694628,0.05084745762711865,False,False,0.1575461561615
Aconitum tauricum,56,0.06951530612244894,0.017857142857142856,False,False,-0.0331843264010568
Adoxa moschatellina,44,0.48347107438016523,0.4090909090909091,True,True,-0.0371345464578893
Aegopodium podagraria,80,0.0,0.0,False,False,-0.0296918807115217
Agapanthus praecox,53,0.5069419722321111,0.41509433962264153,True,True,0.0003334043391028
Ageratina havanensis,70,0.0,0.0,False,False,0.1004469560541719
Agrostemma githago,53,0.5745817016731933,0.24528301886792453,True,True,-0.070036582433975
Ajuga genevensis,49,0.14993752603082044,0.08163265306122448,False,False,-0.0404854220290404
Alchemilla alpina,54,0.3244170096021948,0.2037037037037037,True,True,-0.009925204154149
Allium drummondii,63,0.3386243386243387,0.1746031746031746,True,False,0.1595947316727739
Allium praecox,65,0.11786982248520717,0.03076923076923077,False,False,0.1651522752435775
Allium schoenoprasum,50,0.5895999999999999,0.22,True,True,-0.0365125038596188
Allium tuberosum,67,0.05791935843172191,0.029850746268656716,False,False,-0.0370237068917901
Althaea officinalis,59,0.15972421717897156,0.03389830508474576,False,False,-0.04233034820264
Alyxia buxifolia,45,0.39308641975308645,0.17777777777777778,True,False,0.0705174093884826
Amsinckia tessellata,70,0.05591836734693878,0.014285714285714285,False,False,-0.0027765984317636
Anchusa arvensis,50,0.5312,0.42,True,True,-0.0084429138702789
Andromeda polifolia,51,0.3021914648212226,0.13725490196078433,True,False,0.1068609281185346
Androsace villosa,78,0.025312294543063718,0.01282051282051282,False,False,0.024732912013562
Andryala integrifolia,69,0.3713505566057551,0.2463768115942029,True,True,0.0238140742457866
Anemone pavonina,45,0.5748148148148149,0.17777777777777778,True,False,-0.0362941381277284
Anemonoides blanda,52,0.3698224852071006,0.19230769230769232,True,False,0.0189079112723025
Anemonoides quinquefolia,48,0.07986111111111094,0.041666666666666664,False,False,0.0359641424208979
Antennaria dioica,66,0.286042240587695,0.13636363636363635,True,False,-0.0353052305205098
