species,life_form,direct_category_union,n_direct_records,n_public_references
Acacia linifolia,,,0,0
Acacia ulicifolia,,,0,0
Aciphylla glacialis,,,0,0
Aconitum delphiniifolium,,,0,0
Aconitum tauricum,,,0,0
Adoxa moschatellina,,,0,0
Aegopodium podagraria,,,0,0
Agapanthus praecox,,,0,0
Ageratina havanensis,,,0,0
Agrostemma githago,,,0,0
Ajuga genevensis,,,0,0
Alchemilla alpina,,,0,0
Allium drummondii,,,0,0
Allium praecox,,,0,0
Allium schoenoprasum,,,0,0
Allium tuberosum,,,0,0
Althaea officinalis,,,0,0
Alyxia buxifolia,,,0,0
Amsinckia tessellata,,,0,0
Anchusa arvensis,,,0,0
Andromeda polifolia,,,0,0
Androsace villosa,,,0,0
Andryala integrifolia,,,0,0
Anemone pavonina,,,0,0
Anemonoides blanda,,,0,0
Anemonoides quinquefolia,,,0,0
Antennaria dioica,,,0,0
Aquilegia coerulea,,,0,0
Asclepias incarnata,,,0,0
Asclepias ovalifolia,,,0,0
Asclepias perennis,,,0,0
Asclepias quadrifolia,,,0,0
Asclepias viridis,,,0,0
Astragalus glycyphyllos,,,0,0
Austroflourensia thurifera,,,0,0
Baptisia australis,,,0,0
Baptisia tinctoria,,,0,0
Barbarea orthoceras,,,0,0
Bellis annua,,,0,0
Bidens aristosa,,,0,0
Bidens bipinnata,,,0,0
Bidens cernua,,,0,0
Biscutella laevigata,,,0,0
Brodiaea coronaria,,,0,0
Bryonia alba,,,0,0
Buddleja davidii,,,0,0
Bursaria spinosa,,,0,0
Calochortus concolor,,,0,0
Calochortus flexuosus,,,0,0
Calochortus leichtlinii,,,0,0
Calochortus monophyllus,,,0,0
Calycadenia multiglandulosa,,,0,0
Calystegia tuguriorum,,,0,0
Campanula latifolia,,,0,0
Campanula patula,,,0,0
Cardamine amara,,,0,0
Cardamine concatenata,,,0,0
Cardamine hirsuta,,,0,0
Carlina hispanica,,,0,0
Carlina vulgaris,,,0,0
Carthamus mitissimus,,,0,0
Castilleja exserta,,,0,0
Castilleja foliolosa,,,0,0
Centranthus calcitrapae,,,0,0
Centrosema virginianum,,,0,0
Cerastium fontanum,,,0,0
Chaenorhinum origanifolium,,,0,0
Chelone lyonii,,,0,0
Chondrilla juncea,,,0,0
Cipura campanulata,,,0,0
Cistus albidus,,,0,0
Cistus crispus,,,0,0
Clematis virginiana,,,0,0
Clinopodium alpinum,,,0,0
Cneoridium dumosum,,,0,0
Cochlospermum vitifolium,,,0,0
Coleogyne ramosissima,,,0,0
Coleostephus myconis,,,0,0
Collinsia grandiflora,,,0,0
Commelina benghalensis,therophyte,therophyte,1,1
Commelina communis,,,0,0
Commelina diffusa,,,0,0
Conoclinium betonicifolium,,,0,0
Conopholis alpina,,,0,0
Conospermum caeruleum,,,0,0
Convolvulus elegantissimus,,,0,0
Cornus florida,,,0,0
Cornus sanguinea,,,0,0
Cornus suecica,,,0,0
Corydalis aurea,,,0,0
Cotula coronopifolia,,,0,0
Crepis biennis,,,0,0
Crepis sancta,,,0,0
Cryptantha barbigera,,,0,0
Cylindropuntia echinocarpa,,,0,0
Cypripedium guttatum,,,0,0
Dalea candida,,,0,0
Dampiera stricta,,,0,0
Delphinium glaucum,,,0,0
Delphinium sutherlandii,,,0,0
Desmanthus illinoensis,,,0,0
Diplacus mephiticus,,,0,0
Diplotaxis tenuifolia,,,0,0
Disphyma crassifolium,,,0,0
Distimake aegyptius,,,0,0
Distimake dissectus,,,0,0
Drosera spatulata,,,0,0
Dyssodia pinnata,,,0,0
Echium gaditanum,,,0,0
Echium rosulatum,,,0,0
Ehretia anacua,,,0,0
Elephantopus carolinianus,,,0,0
Epacris obtusifolia,,,0,0
Erechtites hieraciifolius,,,0,0
Erigeron foliosus,,,0,0
Erigeron linearis,,,0,0
Eriodictyon crassifolium,,,0,0
Eriogonum jamesii,,,0,0
Eriogonum latifolium,,,0,0
Eriogonum niveum,,,0,0
Eriophorum vaginatum,,,0,0
Eriophyllum confertiflorum,,,0,0
Eryngium planum,,,0,0
Erythranthe dentata,,,0,0
Erythranthe erubescens,,,0,0
Erythrina humeana,,,0,0
Eschscholzia minutiflora,,,0,0
Euonymus obovatus,,,0,0
Eupatorium altissimum,,,0,0
Euphorbia cyparissias,,,0,0
Eurybia divaricata,,,0,0
Eutrochium fistulosum,,,0,0
Eutrochium maculatum,,,0,0
Eysenhardtia texana,,,0,0
Falcaria vulgaris,,,0,0
Fritillaria pyrenaica,,,0,0
Galinsoga parviflora,,,0,0
Gazania rigens,,,0,0
Gentiana acaulis,,,0,0
Gentiana parryi,,,0,0
Geranium macrorrhizum,,,0,0
Geranium molle,,,0,0
Geranium richardsonii,,,0,0
Geranium yeoi,,,0,0
Geum canadense,,,0,0
Geum macrophyllum,,,0,0
Geum urbanum,,,0,0
Gompholobium huegelii,,,0,0
