batch_index,requested,api_results_returned,resolved_exact_photo,elapsed_seconds
1,200,200,200,3.7042152881622314
2,200,200,200,5.217851400375366
3,200,200,200,4.255038738250732
4,200,200,200,4.0765602588653564
5,200,200,200,2.6300835609436035
6,200,200,200,2.4271955490112305
7,200,200,200,4.5402092933654785
8,200,200,200,7.927799940109253
9,200,200,200,3.374574899673462
10,200,200,200,2.921504259109497
11,200,200,200,4.533565521240234
12,200,200,200,3.1565158367156982
13,200,200,200,2.8230912685394287
14,200,200,200,2.975452423095703
15,200,200,200,6.621570110321045
16,200,200,200,2.8884384632110596
17,200,200,200,3.100773572921753
18,200,200,200,3.064873456954956
19,200,200,200,4.932126522064209
20,200,200,200,2.540107250213623
21,200,200,200,2.4736695289611816
22,200,200,200,2.511927843093872
23,200,200,200,5.154039621353149
24,200,200,200,2.6732709407806396
25,200,200,200,2.3482906818389893
26,200,200,200,4.124530792236328
27,200,200,200,8.522784233093262
28,200,200,200,2.893923759460449
29,200,200,200,2.251800060272217
30,200,200,200,3.1665663719177246
31,200,200,200,2.4868412017822266
32,200,200,200,5.4517974853515625
33,200,200,200,5.274378776550293
34,200,200,200,4.032285690307617
35,200,200,200,2.8059771060943604
36,200,200,200,4.486418724060059
37,200,200,200,7.764127969741821
38,200,200,200,7.86051869392395
39,200,200,200,2.6653285026550293
40,200,200,200,2.7850124835968018
41,200,200,200,7.975399971008301
42,200,200,200,3.7705864906311035
43,200,200,200,3.1559641361236572
44,200,200,200,2.6962833404541016
45,200,200,200,3.5391359329223633
46,200,200,200,2.675746440887451
47,200,200,200,4.148590803146362
48,200,200,200,2.510587215423584
49,200,200,200,2.7555763721466064
50,200,200,200,2.976381301879883
51,200,200,200,9.338237762451172
52,200,200,200,19.04632019996643
53,200,200,200,2.937288761138916
54,200,200,200,2.9614052772521973
55,200,200,200,2.7449538707733154
56,200,200,200,4.922146797180176
57,200,200,200,3.8528618812561035
58,200,200,200,5.860720872879028
59,200,200,200,2.582235097885132
60,200,200,200,2.7482032775878906
61,200,200,200,3.2194762229919434
62,200,200,200,3.8828201293945312
63,200,200,200,2.419726610183716
64,200,200,200,2.648319959640503
65,200,200,200,3.293883800506592
66,200,200,200,5.56636643409729
67,200,200,200,3.1704068183898926
68,200,200,200,2.5005950927734375
69,200,200,200,2.4919657707214355
70,200,200,200,2.8570780754089355
71,200,200,200,5.357276201248169
72,200,200,200,3.828019618988037
73,200,200,200,7.67137336730957
74,200,200,200,3.0977792739868164
75,200,200,200,3.3808114528656006
76,200,200,200,3.2372121810913086
77,200,200,200,4.539953231811523
78,200,200,200,3.7695627212524414
79,200,200,200,3.4117839336395264
80,200,200,200,2.5858683586120605
81,200,200,200,3.705615997314453
82,200,200,200,4.369966506958008
83,200,200,200,3.4872207641601562
84,200,200,200,2.7683937549591064
85,200,200,200,3.066826105117798
86,200,200,200,3.4083545207977295
87,200,200,200,5.042313098907471
88,200,200,200,3.2986879348754883
89,200,200,200,3.317237138748169
90,200,200,200,5.237795829772949
91,200,200,200,5.953994274139404
92,200,200,200,3.161194324493408
