minimum_raw_photos,species,genera,genus_retention,effective_genera_simpson,genus_composition_jsd_vs_full
1,41322,7022,0.9877619918413278,947.0327829937526,0.0015494663287867827
2,33944,6220,0.8749472499648333,902.5003610956628,0.021027648057928283
5,24612,5081,0.7147278098185399,827.6886281218486,0.06397911493677282
10,18301,4234,0.5955830637220425,770.9511040827929,0.10839110082442582
20,12985,3403,0.4786889857926572,707.4624157159582,0.16338073928573116
30,10330,2950,0.4149669433112955,670.6021718911038,0.20097346072363081
40,8753,2613,0.3675622450414967,635.8778042444412,0.2299482752970722
50,7632,2372,0.3336615557743705,601.3444281555202,0.25490287183594684
60,6770,2173,0.3056688704459136,577.3278077291279,0.27779912265739515
80,5558,1905,0.26797017864678574,538.5899295627311,0.30795189602908524
100,4730,1692,0.23800815867210579,505.3053573041829,0.3359438484365649
