component,colour,observed_median,observed_q025,observed_q975,fraction_observed_gt0,null_median,null_q025,null_q975,p_like_two_sided,informative_species_median
B,black,-0.006324214815728778,-0.0204334486593536,0.007594979469841049,0.155,0.002391737791989839,-0.015290313405637008,0.020651401251176343,0.48258706467661694,326.0
B,blue,-0.0018207069580996951,-0.005036242429930774,0.0012412293878344947,0.135,-0.00027543705283471123,-0.004182967601519881,0.003818869384697547,0.2935323383084577,326.0
B,bronze,-0.000705929424360184,-0.009334395638405013,0.007213060601645542,0.445,-8.124805850172109e-05,-0.008089821861135773,0.007445696560291089,0.8208955223880597,326.0
B,brown,-0.015109216204008149,-0.027889880634438032,-0.0006210717363746812,0.025,-0.00019726775387006885,-0.01968402048664069,0.016434652762897236,0.11442786069651742,326.0
B,green,0.025626472428176464,0.00814711938466024,0.04414469317894703,1.0,-0.0003766928273978435,-0.021158036543450935,0.020531110535323985,0.03980099502487562,326.0
B,magenta,-5.795593445446771e-05,-0.0007867010073833734,0.0003902106901520802,0.375,-3.13352842024444e-05,-0.0018740546901140835,0.0019397567728196728,0.8407960199004975,326.0
B,orange,5.5777025957601836e-05,-0.00043666861778490063,0.0005941502860637299,0.61,4.707917649898965e-05,-0.0006125179195166059,0.0005424602599560952,0.8159203980099502,326.0
B,pink,-0.00043533979791792127,-0.0028958678030792293,0.0018171113338101813,0.335,1.968226959935189e-05,-0.002503974597303671,0.003211970395445946,0.7164179104477612,326.0
B,purple,-0.0007681329479920669,-0.0018569613068174888,0.0006374680911913474,0.125,-9.239030205639493e-05,-0.0022080384898132766,0.0017851088950617006,0.38308457711442784,326.0
B,red,-0.00017258642853762576,-0.0011468197203849087,0.0007142984460351757,0.36,2.3951190259833043e-05,-0.0009338697835207819,0.0009761730436031726,0.7213930348258707,326.0
B,white,-0.002396090829655894,-0.011194353141334098,0.00712946012325035,0.305,-0.00039199973507754606,-0.010418786890808003,0.009999635589074614,0.6417910447761194,326.0
B,yellow,0.0019407885574546494,-0.0009337455150484044,0.005622962851351015,0.895,3.010772716213945e-05,-0.00352009986541479,0.0036808084017363484,0.373134328358209,326.0
D,black,0.007492385196274945,-0.00462215760806544,0.021160184364164957,0.895,-0.0012959768617892894,-0.01921268875857544,0.015539997623109718,0.3781094527363184,326.0
D,blue,0.001971718426366861,-0.004908282813677662,0.009091892936616995,0.7,1.5900002174418177e-06,-0.010616043591480589,0.008405871613801318,0.6666666666666666,326.0
D,bronze,-0.00022043181971975238,-0.008759365959318309,0.00961007109796894,0.465,0.0006587353715648077,-0.010702665713391337,0.014889308952556569,0.9800995024875622,326.0
D,brown,0.013906430608735984,-0.00040128436640222206,0.026940472889088813,0.97,0.0014731429778657153,-0.015982123449267478,0.018153630831592514,0.15920398009950248,326.0
D,green,-0.022721400590082336,-0.04100181216339029,-0.0031478229461567747,0.015,-0.00038874865725351687,-0.02324577083767416,0.02610941826638863,0.06467661691542288,326.0
D,magenta,-0.0012578093316271796,-0.007345435373575554,0.004837043883222002,0.35,1.9696332825304205e-06,-0.008674374042000534,0.007943942287160407,0.7611940298507462,326.0
D,orange,0.00012423340734739552,-0.0037226684998963597,0.002971628259711507,0.525,0.00012742157512871466,-0.00443313511790801,0.004486321594007599,0.945273631840796,326.0
D,pink,0.003744896284849488,-0.00521088112067366,0.013694504054534653,0.795,0.00031483639776387596,-0.011996461205473282,0.009855607056132754,0.4577114427860697,326.0
D,purple,-0.0005396302713972215,-0.007288637105162264,0.006212904358429752,0.435,-0.0001442346526881098,-0.0075592123154031325,0.008425151166220078,0.9402985074626866,326.0
D,red,0.0005245338749009763,-0.004446433678758847,0.005559342625235814,0.59,4.728161010716589e-05,-0.004970712024118689,0.0061907204293884755,0.8507462686567164,326.0
D,white,0.003837699031594811,-0.01432420292336837,0.018063684410667455,0.645,-0.00022378573549992363,-0.021355349248270258,0.020493029180113774,0.7114427860696517,326.0
D,yellow,-0.006398509756480455,-0.01702971569396377,0.004455015076348714,0.09,-0.001861908085265472,-0.01339808611679579,0.011803956170051531,0.36318407960199006,326.0
F,black,0.0012196239787539615,-0.0034555563707039955,0.006162271965428898,0.68,3.319066085901292e-05,-0.006449290586072656,0.006215843281248293,0.7164179104477612,326.0
F,blue,0.00013288078344439116,-0.006508143980384068,0.006374413562806844,0.52,-1.8907346591231315e-05,-0.008995879838307082,0.007691680163942782,0.9751243781094527,326.0
F,bronze,-0.0015139025647453667,-0.01145332509395526,0.007073916876637081,0.4,-0.0004956096481930582,-0.00972785425279069,0.012719847674652571,0.8059701492537313,326.0
F,brown,-0.0008340870892872294,-0.009236815301785115,0.008140722431654479,0.435,0.0007802182759313416,-0.009354418139362221,0.010459203978163774,0.8407960199004975,326.0
F,green,0.0028597874477970424,-0.00813317942332433,0.011742285931620862,0.675,0.0008576909318682537,-0.011412781501296456,0.011167298388445922,0.6517412935323383,326.0
F,magenta,-0.0014270758208832298,-0.007404762230645859,0.004832532108008488,0.33,7.375468135070978e-05,-0.008269889007152689,0.008372145203039203,0.6915422885572139,326.0
F,orange,0.0003076078703266909,-0.0036096451569800937,0.003201106283438595,0.55,0.000287919353635778,-0.0044952848668897765,0.00464682954650596,0.900497512437811,326.0
F,pink,0.003102367193321031,-0.005769222306708429,0.013161072457998968,0.775,0.000400363892018025,-0.010132350135056603,0.010131096372652675,0.527363184079602,326.0
F,purple,-0.0015294077521085176,-0.007745166205886447,0.005465343290140288,0.395,-0.00035090290959686576,-0.007836623339909216,0.00834623732081763,0.7711442786069652,326.0
F,red,0.0003421808687830589,-0.005093789577599239,0.005896169443793332,0.525,1.5179126727422242e-06,-0.005167639891390212,0.006586099692950372,0.9253731343283582,326.0
F,white,0.0008973373843603328,-0.017103552534029544,0.014157959377555618,0.58,-0.0003086628617808534,-0.020895573610107597,0.02059196286314703,0.9651741293532339,326.0
F,yellow,-0.004515999935144786,-0.01545455297426198,0.0047409980032512514,0.22,-0.0010389457286304952,-0.013555310584741147,0.01109662635651513,0.5422885572139303,326.0
