rx,ry,mode,full_sign,median_flower_score_A,median_flower_score_B,passes_half_gate_A,passes_half_gate_B,same_sign_fraction_A,same_sign_fraction_B,support_reps_A,support_reps_B,cross_genus_split_robust
-24,8,M3,-1,-0.011150523718429688,-0.005158487398019914,True,True,0.915,0.755,200,200,True
-24,9,M3,1,0.004530282588246908,0.009692536339803656,False,True,0.665,0.835,200,200,False
-24,10,M1,1,-1.834192533754277e-05,0.022455928381203097,False,True,0.49,0.955,200,200,False
-24,11,M1,1,0.004787782686465376,0.031775341943131793,False,True,0.645,0.87,200,200,False
-23,11,M1,-1,-0.03657631729383436,0.011702799868114453,True,False,0.955,0.31,200,200,False
-23,11,M2,1,0.03295957358550753,0.01564814911656451,True,True,0.94,0.815,200,200,True
-22,8,M3,-1,-0.011845331117891158,-0.01621975644240689,True,False,0.8793969849246231,0.803030303030303,199,66,False
-19,8,M2,1,0.011658953398610387,0.0316537694797208,False,True,0.6820512820512821,0.8924050632911392,195,158,False
-16,6,M1,-1,-0.025669874414030465,-0.028784957889038964,True,True,0.96,0.855,200,200,True
-16,6,M2,1,0.019723864588959396,0.04032374673980952,True,True,0.87,0.94,200,200,True
-16,10,M2,-1,-0.04541824430751393,0.0048657189748121735,True,False,0.9105263157894737,0.4764705882352941,190,170,False
28,-9,M2,-1,-0.013363242015227917,-0.027582474610597936,False,True,0.6984924623115578,0.81,199,200,False
29,-8,M3,1,0.029387561985676096,0.006248851858415468,False,False,0.979381443298969,0.6476683937823834,97,193,False
