tranche,species,n,D,second_fraction,close_observer_disjoint_pairs_100km,cross_morph_close_pairs_100km,cross_morph_unique_photos_100km,cross_morph_unique_observers_100km,local_cross_rate_100km,local_retention_ratio_100km,close_observer_disjoint_pairs_250km,cross_morph_close_pairs_250km,cross_morph_unique_photos_250km,cross_morph_unique_observers_250km,local_cross_rate_250km,local_retention_ratio_250km,close_observer_disjoint_pairs_500km,cross_morph_close_pairs_500km,cross_morph_unique_photos_500km,cross_morph_unique_observers_500km,local_cross_rate_500km,local_retention_ratio_500km,global_cross_morph_pair_rate,C_star,S_star,segregation_delta_km,segregation_perm_p,organization_state,second_ge_0_20
discovery,Acacia linifolia,48,0.2230902777777778,0.10416666666666667,1074,243,48,44,0.22625698324022347,0.9930656696302416,1124,257,48,44,0.22864768683274023,1.00355871886121,1124,257,48,44,0.22864768683274023,1.00355871886121,0.22783687943262412,True,False,0.7974855384023485,0.415,local_cooccurrence_only,False
discovery,Acacia ulicifolia,76,0.3324099722991689,0.21052631578947367,310,100,61,58,0.3225806451612903,0.9576612903225806,959,305,73,70,0.3180396246089677,0.9441801355578728,1757,568,76,72,0.3232783153101878,0.9597324985771201,0.3368421052631579,True,False,43.35809176157886,0.19,local_cooccurrence_only,True
discovery,Adoxa moschatellina,44,0.48347107438016523,0.4090909090909091,0,0,0,0,,,14,6,9,9,0.42857142857142855,0.8663003663003662,51,18,22,22,0.35294117647058826,0.7134238310708899,0.49471458773784355,False,False,-116.83986370279536,0.623,unresolved_photo_state,True
discovery,Agapanthus praecox,53,0.5069419722321111,0.41509433962264153,39,24,28,28,0.6153846153846154,1.1910112359550562,154,80,38,38,0.5194805194805194,1.0053990952867355,332,171,45,45,0.5150602409638554,0.9968441180452144,0.5166908563134979,True,False,-59.628224602622595,0.558,local_cooccurrence_only,True
discovery,Agrostemma githago,53,0.5745817016731933,0.24528301886792453,7,3,6,6,0.42857142857142855,0.7318109399893786,41,24,29,29,0.5853658536585366,0.9995466497415904,177,115,49,49,0.6497175141242938,1.109430897724011,0.5856313497822931,False,False,-103.64362151981072,0.88,unresolved_photo_state,True
discovery,Alchemilla alpina,54,0.3244170096021948,0.2037037037037037,79,28,33,30,0.35443037974683544,1.0722830304814408,210,71,37,34,0.3380952380952381,1.0228631833282997,341,138,39,36,0.4046920821114369,1.22434327590162,0.3305380852550664,True,False,-10.649718562752923,0.475,local_cooccurrence_only,True
discovery,Allium drummondii,63,0.3386243386243387,0.1746031746031746,480,102,48,47,0.2125,0.617578125,843,224,61,59,0.265717674970344,0.7722419928825621,1522,537,63,61,0.3528252299605782,1.0253983245729303,0.34408602150537637,True,True,84.89388941249291,0.037,cooccurrence_and_segregation,False
discovery,Allium schoenoprasum,50,0.5895999999999999,0.22,0,0,0,0,,,4,3,5,5,0.75,1.246607869742198,33,19,22,22,0.5757575757575758,0.9569919000041117,0.6016326530612245,False,False,-540.0095702248937,0.91,unresolved_photo_state,True
discovery,Alyxia buxifolia,45,0.39308641975308645,0.17777777777777778,54,14,17,17,0.25925925925925924,0.6448911222780569,121,34,28,26,0.2809917355371901,0.6989492919141161,269,91,43,40,0.3382899628252788,0.8414750331583568,0.402020202020202,True,False,397.5316897538719,0.15,local_cooccurrence_only,False
discovery,Anchusa arvensis,50,0.5312,0.42,0,0,0,0,,,30,18,28,28,0.6,1.1069277108433735,112,60,39,39,0.5357142857142857,0.9883283132530121,0.5420408163265306,False,False,-81.8354331996004,0.801,unresolved_photo_state,True
discovery,Andromeda polifolia,51,0.3021914648212226,0.13725490196078433,0,0,0,0,,,1,1,2,2,1.0,3.2442748091603053,27,2,3,3,0.07407407407407407,0.24031665253039297,0.30823529411764705,False,True,888.9803630120614,0.004,spatial_segregation_only,False
discovery,Andryala integrifolia,69,0.3713505566057551,0.2463768115942029,77,28,31,29,0.36363636363636365,0.965034965034965,316,121,59,55,0.3829113924050633,1.0161879259980526,835,325,68,64,0.38922155688622756,1.032934131736527,0.37681159420289856,True,False,-68.34038995722005,0.915,local_cooccurrence_only,True
discovery,Anemone pavonina,45,0.5748148148148149,0.17777777777777778,118,72,39,38,0.6101694915254238,1.0379171763061332,447,268,45,44,0.5995525727069351,1.01985746903757,877,509,45,44,0.580387685290764,0.9872574028141862,0.5878787878787879,True,False,-9.84462061316907,0.588,local_cooccurrence_only,False
discovery,Anemonoides blanda,52,0.3698224852071006,0.19230769230769232,0,0,0,0,,,40,14,18,18,0.35,0.9281999999999999,122,43,35,35,0.3524590163934426,0.9347213114754098,0.3770739064856712,False,False,-577.459743064459,0.721,unresolved_photo_state,False
discovery,Antennaria dioica,66,0.286042240587695,0.13636363636363635,0,0,0,0,,,38,11,17,17,0.2894736842105263,0.9966630058291797,157,44,43,43,0.2802547770700637,0.9649221457709255,0.29044289044289046,False,False,-139.10682547431657,0.798,unresolved_photo_state,False
discovery,Aquilegia coerulea,44,0.5506198347107437,0.29545454545454547,340,168,41,40,0.49411764705882355,0.8769892947798256,835,467,43,42,0.5592814371257485,0.9926458527597712,908,519,44,43,0.5715859030837004,1.014484548437487,0.5634249471458774,True,True,16.281017595775197,0.026,cooccurrence_and_segregation,True
discovery,Asclepias incarnata,49,0.4398167430237402,0.32653061224489793,0,0,0,0,,,32,1,2,2,0.03125,0.06960227272727272,138,24,22,22,0.17391304347826086,0.38735177865612647,0.4489795918367347,False,True,461.95240212773365,0.001,spatial_segregation_only,True
discovery,Asclepias viridis,40,0.43875,0.325,20,12,17,17,0.6,1.3333333333333333,118,61,35,35,0.5169491525423728,1.1487758945386062,323,154,39,39,0.47678018575851394,1.0595115239078088,0.45,False,False,-22.1215471607602,0.648,unresolved_photo_state,True
discovery,Astragalus glycyphyllos,42,0.49546485260770967,0.4523809523809524,6,4,7,7,0.6666666666666666,1.3135011441647595,60,30,31,31,0.5,0.9851258581235697,221,108,35,35,0.48868778280542985,0.9628379427814074,0.5075493612078978,False,False,-28.556177847117397,0.667,unresolved_photo_state,True
