tranche,species,organization_state,C_star,S_star,D,n_climate_cells,mean_bio4,mean_bio15,spatial_niche_turnover,hv3d_rarefied20,regional_centroid_sep,regional_gaussian_overlap,metric_status
discovery,Acacia linifolia,local_cooccurrence_only,True,False,0.2230902777777778,28,404.53004237583707,30.779977253505162,0.08662255233011558,0.18180028826833994,,,complete
discovery,Acacia ulicifolia,local_cooccurrence_only,True,False,0.3324099722991689,99,394.97669474283856,29.98221216298113,0.4707763488986314,1.9087609643015013,0.8111174021907278,0.5741691722948288,complete
discovery,Adoxa moschatellina,unresolved_photo_state,False,False,0.4834710743801652,100,877.2800588989257,36.24466238021851,0.6862919870337711,12.0882717741098,1.2437586859168317,0.5267576492299919,complete
discovery,Agapanthus praecox,local_cooccurrence_only,True,False,0.5069419722321111,100,333.79318351745604,26.916512651443483,0.8673279692482206,10.068773187089583,1.2595785221421023,0.4195450153093571,complete
discovery,Agrostemma githago,unresolved_photo_state,False,False,0.5745817016731933,100,662.5380520629883,26.360132904052733,0.955528486096232,5.6821975790740895,,,complete
discovery,Alchemilla alpina,local_cooccurrence_only,True,False,0.3244170096021948,90,505.9710523817274,24.22895334031847,0.5361568671889361,11.049063335686673,0.729576808473656,0.3786143019688196,complete
discovery,Allium drummondii,cooccurrence_and_segregation,True,True,0.3386243386243387,79,762.7553286009197,40.6433018068724,1.6985106323497057,0.7881038387143031,1.7682751713969302,0.08368998318300541,complete
discovery,Allium schoenoprasum,unresolved_photo_state,False,False,0.5895999999999999,100,832.8459982299805,31.900650091171265,0.3470892394581926,31.167267958140428,0.3777760125433161,0.7635868713980148,complete
discovery,Alyxia buxifolia,local_cooccurrence_only,True,False,0.3930864197530864,69,415.43890690457994,40.34585323886595,1.284001318068261,2.824329532474232,1.491016794495507,0.1322031979277563,complete
discovery,Anchusa arvensis,unresolved_photo_state,False,False,0.5312,100,719.3960406494141,27.92070801734924,1.037955378099707,7.695173812353751,,,complete
discovery,Andromeda polifolia,spatial_segregation_only,False,True,0.3021914648212226,100,1014.5445223999023,36.47548225402832,0.34742039015060744,22.789358336704858,0.5221732144424241,0.7396787682063563,complete
discovery,Andryala integrifolia,local_cooccurrence_only,True,False,0.3713505566057551,100,530.9411712646485,46.35727908134461,0.5797640200802712,3.8424192132236055,0.998315501232027,0.6333333320868361,complete
discovery,Anemone pavonina,local_cooccurrence_only,True,False,0.5748148148148149,99,668.512738468671,54.4941002046219,0.553524171449934,1.1852888618120314,0.5673891329600773,0.8578538697947912,complete
discovery,Anemonoides blanda,unresolved_photo_state,False,False,0.3698224852071006,100,738.8712536621093,28.02529082298279,0.6886706212089917,15.198063575050165,0.9847792600565134,0.41669999805526614,complete
discovery,Antennaria dioica,unresolved_photo_state,False,False,0.286042240587695,100,889.0022720336914,33.47229524612427,1.2378857890496853,12.034221124495938,1.2091430783334096,0.5508916141151122,complete
discovery,Aquilegia coerulea,cooccurrence_and_segregation,True,True,0.5506198347107437,53,772.6824294756044,20.406034163708956,0.4888670612168078,0.9263901791248826,,,complete
discovery,Asclepias incarnata,spatial_segregation_only,False,True,0.4398167430237402,100,967.165065612793,26.417729864120485,1.0596944944702027,8.272695620121253,1.2690278065287903,0.2852902700686887,complete
discovery,Asclepias viridis,unresolved_photo_state,False,False,0.43875,100,806.9143731689453,28.170800304412843,0.9365953699532437,2.25124520935132,1.004363141008018,0.3913144902629859,complete
discovery,Astragalus glycyphyllos,unresolved_photo_state,False,False,0.4954648526077096,100,725.0916448974609,27.131423740386964,0.8600807803377752,4.775832894103801,1.3182107112793564,0.2967370801478979,complete
discovery,Bryonia alba,spatial_segregation_only,False,True,0.5425342058298632,85,893.9390230066635,31.285117766436407,0.9195844851853846,2.3757232563277224,,,complete
discovery,Buddleja davidii,unresolved_photo_state,False,False,0.5959978366684695,100,615.5326078796387,27.069524002075195,0.6414333430841791,19.0195714679798,,,complete
discovery,Calochortus flexuosus,local_cooccurrence_only,True,False,0.2190753852561433,95,843.9127364309211,36.973970543710806,0.4629416981093413,0.8245237981925747,0.37628790626779973,0.7037189346689846,complete
discovery,Campanula latifolia,local_cooccurrence_only,True,False,0.4418402777777778,100,841.9986010742188,29.82793727874756,1.4384644086593859,5.382479215745002,1.4950764865011983,0.16986460782368734,complete
discovery,Campanula patula,unresolved_photo_state,False,False,0.4470663265306123,100,814.4769244384765,30.13075587272644,1.1780002575364266,4.25852324993789,1.2824236799463737,0.17280323694666505,complete
discovery,Carlina vulgaris,unresolved_photo_state,False,False,0.5275000000000001,100,617.3710989379883,24.448054246902466,0.4537405823870299,3.121462104267002,0.6368402932637369,0.6829322371024025,complete
discovery,Carthamus mitissimus,local_cooccurrence_only,True,False,0.5805785123966942,75,562.9081575520834,22.23606877644857,0.249730853998913,1.0325979185046397,0.5730579501227254,0.6295925530792075,complete
discovery,Castilleja foliolosa,local_cooccurrence_only,True,False,0.5207939508506616,89,489.2466864425145,87.86085197363008,0.14037231511476309,0.7964834822721331,0.6423729872151971,0.5389531154294783,complete
discovery,Centrosema virginianum,unresolved_photo_state,False,False,0.6489994591671173,100,513.0281672477722,35.61062921524048,1.0509189133496146,10.648740104684265,,,complete
discovery,Chaenorhinum origanifolium,local_cooccurrence_only,True,False,0.5539358600583091,89,566.5358574685087,27.58620778630289,0.6899650984441146,3.629654751308612,0.8425872679739833,0.5914696997952233,complete
discovery,Chelone lyonii,local_cooccurrence_only,True,False,0.4723032069970845,82,901.0717617127954,14.891723225756389,1.0052907761804326,3.191664478313529,0.8501288364345141,0.4161336904437,complete
discovery,Chondrilla juncea,unresolved_photo_state,False,False,0.2355371900826446,100,717.8719375610351,41.62603267669678,0.28517544882494933,10.730460037938776,0.26950943629078666,0.8507377351363927,complete
discovery,Cipura campanulata,local_cooccurrence_only,True,False,0.1975308641975308,82,169.8027405622529,78.61943207717523,0.7462190782666591,5.142179126611073,1.201479905291966,0.4975831312035109,complete
discovery,Cistus albidus,local_cooccurrence_only,True,False,0.6010701545778834,100,576.8266339111328,46.69704847335815,0.6565924410959131,2.101761586765571,1.2053986591225754,0.43683208452074734,complete
discovery,Cneoridium dumosum,local_cooccurrence_only,True,False,0.3064000000000001,25,405.3356201171875,87.68154434204102,0.07544431344231284,0.08992579716822367,,,complete
discovery,Collinsia grandiflora,cooccurrence_and_segregation,True,True,0.2297668038408779,87,528.3982512375404,62.998468377124304,0.5685376850917737,1.4835918344900862,1.0251431633211723,0.3312780855514697,complete
discovery,Commelina benghalensis,spatial_segregation_only,False,True,0.5159554017685506,100,279.446699886322,68.44086505889892,0.28223277494937404,23.53523299895445,0.36769853022055077,0.8884735387188424,complete
discovery,Commelina diffusa,unresolved_photo_state,False,False,0.4757253662740591,100,291.9392837905884,62.39636022567749,0.07476935072070535,37.27804267647602,0.4278532376224527,0.7820772156898999,complete
discovery,Conopholis alpina,local_cooccurrence_only,True,False,0.3106508875739644,100,306.46993659973145,87.15923915863037,1.2525773501173745,4.394892689599449,1.6176773863683436,0.18900380529008914,complete
